,Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
0,"Hazard, Eden",6,F,1,OWNDED,BURN Mon 3:00PM,579.0,17.55,100%,0%,33,16,12,85,0,40,12,78,97,2,0,0,28,12,4,18,0,0,0,0
1,"Maddison, James",11,M,2,OWNDED,@WHU Sat 10:00AM,494.5,15.45,99%,0%,32,7,6,93,0,25,44,33,69,3,1,1,61,12,5,10,0,0,0,5
2,Mohamed Salah,12,F,3,OWNDED,@CAR Sun 11:00AM,483.0,14.21,100%,0%,34,19,7,62,3,56,18,111,30,1,0,0,16,5,4,11,0,0,0,0
3,"Fraser, Ryan",1,M,4,OWNDED,FUL Sat 10:00AM,482.0,14.18,95%,0%,34,7,12,77,0,21,18,25,59,2,0,0,59,21,19,11,0,0,0,7
4,"Sigurdsson, Gylfi",8,M,5,OWNDED,MUN Sun 8:30AM,475.0,13.97,100%,0%,34,12,4,64,0,32,51,28,36,3,0,0,43,25,18,18,0,0,0,10
5,"Sterling, Raheem",13,M,6,OWNDED,TOT Sat 7:30AM,473.5,16.33,100%,0%,29,17,9,59,4,35,28,73,37,2,0,0,11,15,4,8,0,0,0,2
6,"Milivojevic, Luka",7,M,7,OWNDED,@ARS Sun 11:00AM,473.5,13.93,99%,0%,34,12,1,46,0,25,78,17,31,8,0,0,43,63,57,48,0,0,0,11
7,"Pogba, Paul",14,M,8,OWNDED,@EVE Sun 8:30AM,463.5,15.45,100%,0%,30,13,9,46,1,48,41,75,58,5,0,0,3,16,32,52,0,0,0,7
8,"Digne, Lucas",8,D,9,OWNDED,MUN Sun 8:30AM,462.5,14.92,96%,0%,31,3,4,58,0,8,61,29,29,4,0,1,72,55,80,82,1,34,10,0
9,Felipe Anderson,19,M,10,OWNDED,LEIC Sat 10:00AM,440.0,13.33,99%,0%,33,9,4,58,1,22,77,50,49,3,0,0,32,36,10,10,0,0,0,4
10,"Doherty, Matt",20,D,11,OWNDED,BRIGHT Sat 10:00AM,436.75,13.23,94%,0%,33,3,4,31,2,16,61,20,15,4,0,0,12,50,79,136,1,2,0,6
11,"van Dijk, Virgil",12,D,12,OWNDED,@CAR Sun 11:00AM,436.25,12.83,100%,0%,34,3,2,7,2,7,34,1,17,1,0,0,0,39,183,152,0,20,17,0
12,"Mane, Sadio",12,F,13,OWNDED,@CAR Sun 11:00AM,433.0,13.53,100%,0%,32,18,1,36,2,37,34,37,55,2,0,0,5,15,8,31,0,0,0,7
13,Joao Moutinho,20,M,14,OWNDED,BRIGHT Sat 10:00AM,409.5,12.41,95%,+0.1%,33,1,8,68,0,2,99,19,33,3,0,0,47,36,35,20,0,0,0,6
14,Ricardo Pereira,11,D,15,OWNDED,@WHU Sat 10:00AM,401.0,12.94,99%,0%,31,2,5,32,2,8,106,33,45,6,0,0,15,52,94,57,0,28,6,1
15,"Jimenez, Raul",20,F,16,OWNDED,BRIGHT Sat 10:00AM,396.5,12.02,99%,0%,33,12,7,39,3,33,27,59,32,4,0,0,7,24,36,72,0,0,0,0
16,"Kane, Harry",17,F,17,OWNDED,@MCI Sat 7:30AM,395.5,14.12,94%,0%,28,17,4,30,2,46,10,44,52,5,0,0,4,1,14,49,0,0,0,0
17,"Robertson, Andrew",12,D,18,OWNDED,@CAR Sun 11:00AM,391.25,12.23,100%,0%,32,0,9,44,1,4,75,23,14,4,0,0,18,29,43,20,0,18,18,0
18,"Mitrovic, Aleksandar",9,F,19,OWNDED,@BOUR Sat 10:00AM,387.5,11.74,97%,+0.1%,33,10,3,29,1,44,19,85,54,6,0,0,1,6,51,216,0,0,0,0
19,"Aguero, Sergio",13,F,20,OWNDED,TOT Sat 7:30AM,387.0,13.82,100%,0%,28,19,7,29,3,38,17,45,21,3,0,0,0,8,3,15,0,0,0,0
20,"Eriksen, Christian",17,M,21,OWNDED,@MCI Sat 7:30AM,385.0,12.83,100%,0%,30,6,12,66,0,24,34,27,13,2,0,0,28,14,7,9,0,0,0,5
21,"Aubameyang, Pierre-Emerick",2,F,22,OWNDED,CRY Sun 11:00AM,382.5,11.95,100%,0%,32,18,5,29,2,33,19,27,18,0,0,0,6,7,18,32,0,0,0,2
22,"Lacazette, Alexandre",2,F,23,OWNDED,CRY Sun 11:00AM,380.0,12.26,100%,0%,31,13,7,26,4,28,32,52,49,2,0,0,5,14,26,42,0,0,0,0
23,"Paterson, Callum",5,D,24,FA,CAR 2<br/>@BRIGHT 0 F,380.0,14.07,51%,-0.3%,27,4,1,23,1,8,21,12,30,4,0,0,5,8,28,202,0,0,1,1
24,"Deeney, Troy",18,F,25,OWNDED,@HUD Sat 10:00AM,366.5,12.22,84%,-0.5%,30,9,5,39,0,27,23,33,32,4,0,1,2,7,28,190,0,0,0,0
25,Willian,6,F,26,OWNDED,BURN Mon 3:00PM,357.5,11.92,98%,+0.1%,30,3,6,74,1,21,34,35,30,1,0,0,37,13,9,10,0,0,0,0
26,"Morrison, Sean",5,D,27,OWNDED,CAR 2<br/>@BRIGHT 0 F,355.5,11.85,81%,-0.1%,30,1,3,19,1,8,25,6,18,5,0,0,0,50,182,205,0,57,8,0
27,"Alonso, Marcos",6,D,28,OWNDED,BURN Mon 3:00PM,352.25,12.58,99%,0%,28,1,4,31,4,6,67,25,32,6,0,0,9,32,71,59,0,27,12,0
28,Roberto Firmino,12,F,29,OWNDED,@CAR Sun 11:00AM,346.5,10.5,100%,0%,33,12,6,42,2,34,30,59,10,0,0,0,1,6,15,28,0,0,0,7
29,"Azpilicueta, Cesar",6,D,30,OWNDED,BURN Mon 3:00PM,345.25,10.15,100%,0%,34,1,4,25,1,5,93,9,15,4,0,0,20,37,63,59,0,36,14,0
30,"Alexander-Arnold, Trent",12,D,31,OWNDED,@CAR Sun 11:00AM,345.0,13.8,100%,0%,25,1,7,36,0,9,52,14,7,3,0,0,47,31,52,7,0,12,12,0
31,"Townsend, Andros",7,M,32,OWNDED,@ARS Sun 11:00AM,343.5,10.1,97%,0%,34,4,3,54,1,14,59,71,50,1,0,0,38,34,15,4,0,0,0,3
32,"Ritchie, Matt",15,M,33,OWNDED,SOU Sat 12:30PM,343.5,10.73,85%,0%,32,2,5,49,0,10,54,17,37,8,0,0,59,46,52,28,0,17,5,4
33,"Silva, David",13,M,34,OWNDED,TOT Sat 7:30AM,342.0,12.21,100%,0%,28,6,6,65,0,20,25,28,23,2,0,0,18,17,10,16,0,0,0,11
34,"Trippier, Kieran",17,D,35,OWNDED,@MCI Sat 7:30AM,339.25,13.57,100%,0%,25,1,3,45,2,3,62,14,22,2,0,0,52,22,57,30,1,15,7,1
35,"Chilwell, Ben",11,D,36,OWNDED,@WHU Sat 10:00AM,336.75,10.52,88%,-0.1%,32,0,3,39,1,8,42,46,40,3,0,0,20,34,107,102,0,35,8,0
36,"Vardy, Jamie",11,F,37,OWNDED,@WHU Sat 10:00AM,331.0,11.03,99%,0%,30,15,4,25,1,35,12,18,17,3,0,1,5,5,23,64,0,0,0,0
37,"Keane, Michael",8,D,38,OWNDED,MUN Sun 8:30AM,325.0,11.21,89%,0%,29,1,2,8,0,7,36,1,7,2,0,0,1,42,162,163,0,37,10,0
38,"Duffy, Shane",3,D,39,OWNDED,CAR 2<br/>@BRIGHT 0 F,324.0,10.8,94%,-0.2%,30,5,1,6,1,15,28,1,10,4,0,1,1,34,202,170,0,47,6,0
39,Wilfred Ndidi,11,M,40,OWNDED,@WHU Sat 10:00AM,323.0,9.5,89%,-0.2%,34,2,0,21,0,8,124,33,21,7,0,0,0,69,73,125,0,0,0,8
40,Bernardo Silva,13,M,41,OWNDED,TOT Sat 7:30AM,322.0,10.39,100%,0%,31,6,7,58,1,15,38,30,20,3,0,0,10,20,22,6,0,0,0,7
41,Ayoze Perez,15,F,42,OWNDED,SOU Sat 12:30PM,321.0,9.73,83%,+0.3%,33,7,2,43,0,23,56,68,38,2,0,0,3,41,28,22,0,0,0,5
42,"Boly, Willy",20,D,43,OWNDED,BRIGHT Sat 10:00AM,320.25,10.33,86%,+0.1%,31,4,0,7,0,6,75,15,13,2,0,1,0,63,151,124,0,37,6,0
43,"Wilson, Callum",1,F,44,OWNDED,FUL Sat 10:00AM,316.5,12.17,93%,0%,26,12,8,29,3,25,8,40,27,3,0,0,5,3,14,41,0,0,0,0
44,Richarlison,8,F,45,OWNDED,MUN Sun 8:30AM,314.5,9.83,99%,+0.1%,32,12,1,17,1,26,47,86,70,5,0,1,2,15,37,67,0,0,0,6
45,"Tarkowski, James",4,D,46,OWNDED,@CHE Mon 3:00PM,314.5,10.15,90%,-0.1%,31,3,1,4,1,9,61,9,30,6,0,0,1,35,204,155,0,55,7,0
46,"Sane, Leroy",13,F,47,OWNDED,TOT Sat 7:30AM,310.5,11.5,100%,0%,27,9,10,38,2,22,20,37,12,1,0,0,16,6,2,10,0,0,0,0
47,"Zaha, Wilfried",7,F,48,OWNDED,@ARS Sun 11:00AM,309.0,10.3,99%,0%,30,8,3,43,5,23,38,126,92,7,1,1,11,7,1,8,0,0,0,0
48,"Rashford, Marcus",14,F,49,OWNDED,@EVE Sun 8:30AM,306.0,10.93,99%,0%,28,10,6,28,1,34,18,39,44,3,0,1,9,2,21,25,0,0,0,0
49,"King, Joshua",1,F,50,OWNDED,FUL Sat 10:00AM,301.0,9.71,97%,0%,31,11,3,35,0,21,26,84,42,3,0,0,8,5,12,84,0,0,0,0
50,"Milner, James",12,M,51,OWNDED,@CAR Sun 11:00AM,298.0,10.64,88%,0%,28,4,4,44,1,7,41,10,26,3,1,1,37,18,20,20,0,3,4,5
51,"Westwood, Ashley",4,M,52,OWNDED,@CHE Mon 3:00PM,295.0,9.83,50%,-0.2%,30,2,7,39,1,7,50,15,20,4,0,0,30,40,34,19,0,0,0,7
52,"Snodgrass, Robert",19,M,53,OWNDED,LEIC Sat 10:00AM,295.0,9.52,45%,+0.4%,31,2,5,55,0,7,39,41,48,8,0,0,54,11,17,25,0,0,0,3
53,Son Heung-Min,17,F,54,OWNDED,@MCI Sat 7:30AM,293.5,10.87,100%,0%,27,12,6,27,2,25,21,35,18,2,0,0,6,5,2,4,0,0,0,5
54,"Barnes, Ashley",4,F,55,OWNDED,@CHE Mon 3:00PM,292.5,8.86,52%,-0.1%,33,10,2,21,1,26,23,32,59,7,0,0,1,0,16,107,1,0,0,0
55,David Luiz,6,D,56,OWNDED,BURN Mon 3:00PM,291.25,9.1,96%,0%,32,2,2,18,0,6,38,2,29,3,0,0,0,29,133,70,0,33,14,0
56,Sol Bamba,5,D,57,FA,CAR 2<br/>@BRIGHT 0 F,291.25,10.4,55%,-0.2%,28,4,1,4,0,7,74,11,12,7,0,0,0,82,175,94,0,50,7,0
57,"Camarasa, Victor",5,M,58,OWNDED,CAR 2<br/>@BRIGHT 0 F,289.5,9.98,57%,-0.1%,29,5,4,47,0,12,26,41,27,6,0,0,40,31,24,18,0,0,0,8
58,"Holebas, Jose",18,D,59,OWNDED,@HUD Sat 10:00AM,287.5,11.5,84%,+0.1%,25,3,6,33,1,5,60,23,13,11,0,0,35,20,76,57,0,32,5,0
59,"Rondon, Salomon",15,F,60,OWNDED,SOU Sat 12:30PM,283.0,10.11,75%,0%,28,9,5,30,0,22,6,69,26,1,0,0,3,5,31,131,0,0,0,0
60,"Xhaka, Granit",2,M,61,OWNDED,CRY Sun 11:00AM,282.0,10.85,77%,+0.2%,26,4,1,34,1,12,46,15,50,8,0,0,23,34,51,47,0,5,0,7
61,"Wan-Bissaka, Aaron",7,D,62,OWNDED,@ARS Sun 11:00AM,280.25,9.04,87%,+0.1%,31,0,2,12,0,0,120,30,15,4,0,1,11,70,113,42,0,39,11,0
62,"Brooks, David",1,M,63,OWNDED,FUL Sat 10:00AM,275.0,9.82,74%,+0.1%,28,7,5,28,0,19,34,39,43,3,0,0,8,22,20,7,0,0,0,6
63,"Kante, N'Golo",6,M,64,OWNDED,BURN Mon 3:00PM,271.0,8.21,97%,0%,33,3,4,43,0,5,71,53,13,3,0,0,6,42,26,27,0,0,0,14
64,"Gueye, Idrissa",8,M,65,OWNDED,MUN Sun 8:30AM,266.0,9.17,54%,+0.1%,29,0,1,14,0,3,126,28,37,5,0,0,2,65,43,30,0,0,0,10
65,"Laporte, Aymeric",13,D,66,OWNDED,TOT Sat 7:30AM,265.0,8.83,98%,0%,30,2,2,9,0,5,33,2,15,3,0,0,0,33,80,66,0,20,14,0
66,"Murray, Glenn",3,F,67,FA,CAR 2<br/>@BRIGHT 0 F,260.5,7.89,67%,-0.2%,33,11,0,9,0,18,16,31,51,5,0,0,0,2,14,138,0,0,0,0
67,"Doucoure, Abdoulaye",18,M,68,OWNDED,@HUD Sat 10:00AM,259.5,8.65,96%,+0.1%,30,5,6,30,0,15,62,29,13,4,0,0,2,25,51,34,1,0,0,5
68,"Hojbjerg, Pierre-Emile",16,M,69,OWNDED,@NEW Sat 12:30PM,259.5,9.98,55%,+0.2%,26,4,2,25,0,19,58,36,45,7,1,2,7,47,24,39,0,0,0,4
69,Solly March,3,M,70,OWNDED,CAR 2<br/>@BRIGHT 0 F,259.0,8.35,49%,+0.4%,31,1,5,39,0,6,47,34,28,1,0,0,42,25,23,14,0,0,0,1
70,"Billing, Philip",10,M,71,OWNDED,WAT Sat 10:00AM,259.0,9.59,47%,-0.2%,27,2,0,22,0,9,73,28,30,7,0,0,9,53,40,88,0,0,0,5
71,Lucas Moura,17,M,72,OWNDED,@MCI Sat 7:30AM,258.0,9.56,95%,+0.2%,27,10,0,21,2,16,31,30,34,3,0,0,1,23,21,26,0,0,0,4
72,"Seri, Jean Michael",9,M,73,OWNDED,@BOUR Sat 10:00AM,258.0,8.32,65%,-0.2%,31,1,2,55,1,6,41,24,23,6,0,0,36,31,13,14,0,0,0,1
73,Johann Gudmundsson,4,M,74,OWNDED,@CHE Mon 3:00PM,256.0,9.85,79%,0%,26,3,5,35,1,8,22,26,19,2,0,0,35,31,29,28,0,0,0,5
74,"Redmond, Nathan",16,M,75,OWNDED,@NEW Sat 12:30PM,255.5,7.74,81%,+0.3%,33,5,3,40,1,17,38,66,27,3,0,0,17,17,19,23,0,0,0,4
75,"McArthur, James",7,M,76,FA,@ARS Sun 11:00AM,254.5,7.49,37%,0%,34,2,5,27,1,6,73,35,29,6,0,0,3,34,35,42,0,0,0,10
76,"Martial, Anthony",14,F,77,OWNDED,@EVE Sun 8:30AM,253.0,10.54,97%,0%,24,10,2,34,2,21,9,32,26,2,0,0,3,3,8,18,0,0,0,1
77,"Wood, Chris",4,F,78,OWNDED,@CHE Mon 3:00PM,252.0,7.41,49%,+0.2%,34,10,1,18,1,22,11,41,22,2,0,0,1,2,22,121,0,0,0,0
78,Jonny,20,D,79,OWNDED,BRIGHT Sat 10:00AM,251.75,8.99,72%,+0.2%,28,1,0,23,1,8,70,34,30,6,0,0,6,51,47,32,0,0,0,6
79,"Capoue, Etienne",18,M,80,OWNDED,@HUD Sat 10:00AM,251.0,8.66,53%,+0.2%,29,1,3,10,0,4,77,18,47,10,0,1,0,81,78,60,0,0,0,7
80,"Schar, Fabian",15,D,81,OWNDED,SOU Sat 12:30PM,244.5,12.22,58%,+0.3%,20,3,1,10,0,6,52,8,15,11,0,0,2,55,114,59,0,18,6,0
81,"Lukaku, Romelu",14,F,82,OWNDED,@EVE Sun 8:30AM,244.0,8.41,99%,0%,29,12,0,21,1,31,8,42,3,4,0,0,5,2,17,82,0,0,0,0
82,"Mustafi, Shkodran",2,D,83,FA,CRY Sun 11:00AM,243.0,9.0,86%,+0.1%,27,2,0,4,0,7,55,6,7,7,0,0,1,54,144,100,0,32,6,0
83,"Cook, Steve",1,D,84,OWNDED,FUL Sat 10:00AM,241.25,8.94,62%,+0.4%,27,1,1,8,0,9,30,0,21,2,0,0,3,43,181,108,1,47,8,0
84,Ruben Neves,20,M,85,OWNDED,BRIGHT Sat 10:00AM,239.0,7.97,89%,-0.1%,30,3,2,22,0,12,63,25,16,8,0,0,5,65,33,27,0,0,0,6
85,"Mooy, Aaron",10,M,86,OWNDED,WAT Sat 10:00AM,236.5,9.1,70%,-0.1%,26,3,1,39,0,13,57,39,12,4,0,0,39,14,18,14,0,0,0,2
86,Diogo Jota,20,M,87,OWNDED,BRIGHT Sat 10:00AM,235.0,8.39,92%,+0.1%,28,7,4,23,3,17,21,37,43,8,0,0,5,11,11,25,0,0,0,0
87,"Torreira, Lucas",2,M,88,OWNDED,CRY Sun 11:00AM,231.0,7.7,57%,0%,30,2,2,15,2,6,59,20,65,6,0,1,8,36,27,18,0,0,0,5
88,"Ward-Prowse, James",16,M,89,OWNDED,@NEW Sat 12:30PM,230.5,10.98,67%,+0.1%,21,6,0,38,0,12,29,11,9,3,0,0,31,20,46,18,1,0,0,2
89,"Gundogan, Ilkay",13,M,90,OWNDED,TOT Sat 7:30AM,230.0,8.85,88%,+0.2%,26,5,2,35,0,10,16,13,18,2,0,0,24,17,17,23,0,0,0,9
90,"Mee, Ben",4,D,91,OWNDED,@CHE Mon 3:00PM,230.0,6.76,57%,0%,34,0,2,7,0,4,51,4,17,9,0,0,2,38,200,144,1,60,8,0
91,"Tomkins, James",7,D,92,OWNDED,@ARS Sun 11:00AM,228.75,7.89,48%,0%,29,1,1,7,0,7,34,3,12,6,0,0,0,34,181,91,0,37,10,0
92,"Schlupp, Jeffrey",7,D,93,OWNDED,@ARS Sun 11:00AM,228.25,7.61,48%,-0.6%,30,4,1,16,2,8,41,24,14,1,0,0,4,19,21,54,0,5,0,4
93,"Walker, Kyle",13,D,94,OWNDED,TOT Sat 7:30AM,226.75,8.1,99%,0%,28,1,1,16,0,4,37,11,11,3,0,0,4,31,41,38,0,16,14,0
94,Fernandinho,13,M,95,OWNDED,TOT Sat 7:30AM,226.0,8.37,91%,+0.1%,27,1,3,21,0,7,55,12,25,5,0,0,0,40,67,68,0,1,0,12
95,"Mounie, Steve",10,F,96,FA,WAT Sat 10:00AM,226.0,8.07,38%,0%,28,2,3,18,1,23,9,35,15,1,0,1,0,4,15,203,0,0,0,0
96,"Maguire, Harry",11,D,97,OWNDED,@WHU Sat 10:00AM,222.5,8.24,95%,0%,27,3,0,10,1,13,27,7,14,5,0,1,0,35,128,106,0,37,4,0
97,Pedro,6,F,98,OWNDED,BURN Mon 3:00PM,222.5,8.24,88%,+0.1%,27,8,1,23,0,22,21,29,21,1,0,0,9,18,7,6,0,0,0,0
98,"Ake, Nathan",1,D,99,OWNDED,FUL Sat 10:00AM,220.25,6.48,72%,+0.2%,34,3,0,4,1,8,53,6,18,3,0,0,4,28,221,80,0,61,9,0
99,"Shaw, Luke",14,D,100,OWNDED,@EVE Sun 8:30AM,219.5,8.44,83%,0%,26,1,3,28,1,7,54,14,17,10,0,0,14,21,70,45,0,30,6,0
100,"van Aanholt, Patrick",7,D,101,OWNDED,@ARS Sun 11:00AM,218.75,6.43,80%,+0.1%,34,2,2,35,0,10,43,15,13,3,0,0,11,35,77,8,0,43,11,0
101,"Pereyra, Roberto",18,M,102,FA,@HUD Sat 10:00AM,217.5,7.5,77%,+0.1%,29,6,1,29,3,19,18,56,31,3,0,0,4,21,16,3,0,0,0,5
102,"Knockaert, Anthony",3,M,103,OWNDED,CAR 2<br/>@BRIGHT 0 F,216.5,8.02,50%,-0.5%,27,2,6,32,0,8,31,31,17,4,0,1,36,25,5,14,0,0,0,1
103,"Ramsey, Aaron",2,M,104,OWNDED,CRY Sun 11:00AM,216.0,7.71,85%,-1.3%,28,4,6,25,0,13,34,27,20,0,0,0,5,9,3,13,0,0,0,7
104,"Arnautovic, Marko",19,F,105,OWNDED,LEIC Sat 10:00AM,215.5,8.98,90%,+0.1%,24,7,3,29,1,26,9,25,12,3,0,0,5,3,4,22,0,0,0,0
105,"Young, Ashley",14,D,106,OWNDED,@EVE Sun 8:30AM,214.75,8.59,73%,-0.1%,25,2,2,33,1,3,41,16,30,7,1,1,35,47,55,18,0,35,4,0
106,"Hughes, Will",18,M,107,FA,@HUD Sat 10:00AM,214.5,7.94,35%,+0.3%,27,2,4,23,0,6,62,45,52,5,0,0,2,23,19,16,0,0,0,5
107,"Gross, Pascal",3,M,108,OWNDED,CAR 2<br/>@BRIGHT 0 F,213.5,10.68,81%,0%,20,2,2,43,0,8,23,16,10,0,0,0,38,9,13,15,0,0,0,2
108,"Rose, Danny",17,D,109,OWNDED,@MCI Sat 7:30AM,213.5,9.7,70%,+0.1%,22,0,3,22,1,1,41,14,36,5,0,0,19,18,18,21,0,7,5,2
109,"Ecuele Manga, Bruno",5,D,110,FA,CAR 2<br/>@BRIGHT 0 F,210.5,6.19,13%,+0.1%,34,0,1,6,0,2,63,13,9,0,0,0,2,74,148,76,0,61,9,0
110,"Rudiger, Antonio",6,D,111,OWNDED,BURN Mon 3:00PM,209.75,6.55,83%,-0.1%,32,1,0,8,1,5,34,9,15,7,0,0,0,32,93,83,0,34,12,0
111,"Antonio, Michail",19,M,112,OWNDED,LEIC Sat 10:00AM,209.5,7.22,61%,0%,29,4,3,20,2,17,23,53,34,3,0,0,5,16,17,68,0,4,0,1
112,"Coleman, Seamus",8,D,113,OWNDED,MUN Sun 8:30AM,208.5,8.02,74%,-0.1%,26,1,2,20,0,4,40,23,20,1,0,0,15,22,64,41,1,28,10,0
113,"Mahrez, Riyad",13,M,114,OWNDED,TOT Sat 7:30AM,208.0,8.0,95%,+0.1%,26,6,3,22,0,22,13,26,14,0,0,0,15,8,2,18,0,0,0,2
114,"Chambers, Calum",9,D,115,OWNDED,@BOUR Sat 10:00AM,207.5,7.69,35%,+0.2%,27,2,0,11,0,11,58,20,3,7,0,0,0,62,98,56,0,16,0,3
115,"Rice, Declan",19,M,116,OWNDED,LEIC Sat 10:00AM,205.5,6.63,35%,-0.1%,31,2,0,9,0,5,92,20,7,3,0,0,0,47,49,55,0,0,0,5
