,Player,Team,Position,Status,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
0,"Hazard, Eden",6,F,OWNED,33,16,12,85,0,40,12,78,97,2,0,0,28,12,4,18,0,0,0,0
1,"Maddison, James",11,M,OWNED,32,7,6,93,0,25,44,33,69,3,1,1,61,12,5,10,0,0,0,5
2,Mohamed Salah,12,F,OWNED,34,19,7,62,3,56,18,111,30,1,0,0,16,5,4,11,0,0,0,0
3,"Fraser, Ryan",1,M,OWNED,34,7,12,77,0,21,18,25,59,2,0,0,59,21,19,11,0,0,0,7
4,"Sigurdsson, Gylfi",8,M,OWNED,34,12,4,64,0,32,51,28,36,3,0,0,43,25,18,18,0,0,0,10
5,"Sterling, Raheem",13,M,OWNED,29,17,9,59,4,35,28,73,37,2,0,0,11,15,4,8,0,0,0,2
6,"Milivojevic, Luka",7,M,OWNED,34,12,1,46,0,25,78,17,31,8,0,0,43,63,57,48,0,0,0,11
7,"Pogba, Paul",14,M,OWNED,30,13,9,46,1,48,41,75,58,5,0,0,3,16,32,52,0,0,0,7
8,"Digne, Lucas",8,D,OWNED,31,3,4,58,0,8,61,29,29,4,0,1,72,55,80,82,1,34,10,0
9,Felipe Anderson,19,M,OWNED,33,9,4,58,1,22,77,50,49,3,0,0,32,36,10,10,0,0,0,4
10,"Doherty, Matt",20,D,OWNED,33,3,4,31,2,16,61,20,15,4,0,0,12,50,79,136,1,2,0,6
11,"van Dijk, Virgil",12,D,OWNED,34,3,2,7,2,7,34,1,17,1,0,0,0,39,183,152,0,20,17,0
12,"Mane, Sadio",12,F,OWNED,32,18,1,36,2,37,34,37,55,2,0,0,5,15,8,31,0,0,0,7
13,Joao Moutinho,20,M,OWNED,33,1,8,68,0,2,99,19,33,3,0,0,47,36,35,20,0,0,0,6
14,Ricardo Pereira,11,D,OWNED,31,2,5,32,2,8,106,33,45,6,0,0,15,52,94,57,0,28,6,1
15,"Jimenez, Raul",20,F,OWNED,33,12,7,39,3,33,27,59,32,4,0,0,7,24,36,72,0,0,0,0
16,"Kane, Harry",17,F,OWNED,28,17,4,30,2,46,10,44,52,5,0,0,4,1,14,49,0,0,0,0
17,"Robertson, Andrew",12,D,OWNED,32,0,9,44,1,4,75,23,14,4,0,0,18,29,43,20,0,18,18,0
18,"Mitrovic, Aleksandar",9,F,OWNED,33,10,3,29,1,44,19,85,54,6,0,0,1,6,51,216,0,0,0,0
19,"Aguero, Sergio",13,F,OWNED,28,19,7,29,3,38,17,45,21,3,0,0,0,8,3,15,0,0,0,0
20,"Eriksen, Christian",17,M,OWNED,30,6,12,66,0,24,34,27,13,2,0,0,28,14,7,9,0,0,0,5
21,"Aubameyang, Pierre-Emerick",2,F,OWNED,32,18,5,29,2,33,19,27,18,0,0,0,6,7,18,32,0,0,0,2
22,"Lacazette, Alexandre",2,F,OWNED,31,13,7,26,4,28,32,52,49,2,0,0,5,14,26,42,0,0,0,0
23,"Paterson, Callum",5,D,FA,27,4,1,23,1,8,21,12,30,4,0,0,5,8,28,202,0,0,1,1
24,"Deeney, Troy",18,F,OWNED,30,9,5,39,0,27,23,33,32,4,0,1,2,7,28,190,0,0,0,0
25,Willian,6,F,OWNED,30,3,6,74,1,21,34,35,30,1,0,0,37,13,9,10,0,0,0,0
26,"Morrison, Sean",5,D,OWNED,30,1,3,19,1,8,25,6,18,5,0,0,0,50,182,205,0,57,8,0
27,"Alonso, Marcos",6,D,OWNED,28,1,4,31,4,6,67,25,32,6,0,0,9,32,71,59,0,27,12,0
28,Roberto Firmino,12,F,OWNED,33,12,6,42,2,34,30,59,10,0,0,0,1,6,15,28,0,0,0,7
29,"Azpilicueta, Cesar",6,D,OWNED,34,1,4,25,1,5,93,9,15,4,0,0,20,37,63,59,0,36,14,0
30,"Alexander-Arnold, Trent",12,D,OWNED,25,1,7,36,0,9,52,14,7,3,0,0,47,31,52,7,0,12,12,0
31,"Townsend, Andros",7,M,OWNED,34,4,3,54,1,14,59,71,50,1,0,0,38,34,15,4,0,0,0,3
32,"Ritchie, Matt",15,M,OWNED,32,2,5,49,0,10,54,17,37,8,0,0,59,46,52,28,0,17,5,4
33,"Silva, David",13,M,OWNED,28,6,6,65,0,20,25,28,23,2,0,0,18,17,10,16,0,0,0,11
34,"Trippier, Kieran",17,D,OWNED,25,1,3,45,2,3,62,14,22,2,0,0,52,22,57,30,1,15,7,1
35,"Chilwell, Ben",11,D,OWNED,32,0,3,39,1,8,42,46,40,3,0,0,20,34,107,102,0,35,8,0
36,"Vardy, Jamie",11,F,OWNED,30,15,4,25,1,35,12,18,17,3,0,1,5,5,23,64,0,0,0,0
37,"Keane, Michael",8,D,OWNED,29,1,2,8,0,7,36,1,7,2,0,0,1,42,162,163,0,37,10,0
38,"Duffy, Shane",3,D,OWNED,30,5,1,6,1,15,28,1,10,4,0,1,1,34,202,170,0,47,6,0
39,Wilfred Ndidi,11,M,OWNED,34,2,0,21,0,8,124,33,21,7,0,0,0,69,73,125,0,0,0,8
40,Bernardo Silva,13,M,OWNED,31,6,7,58,1,15,38,30,20,3,0,0,10,20,22,6,0,0,0,7
41,Ayoze Perez,15,F,OWNED,33,7,2,43,0,23,56,68,38,2,0,0,3,41,28,22,0,0,0,5
42,"Boly, Willy",20,D,OWNED,31,4,0,7,0,6,75,15,13,2,0,1,0,63,151,124,0,37,6,0
43,"Wilson, Callum",1,F,OWNED,26,12,8,29,3,25,8,40,27,3,0,0,5,3,14,41,0,0,0,0
44,Richarlison,8,F,OWNED,32,12,1,17,1,26,47,86,70,5,0,1,2,15,37,67,0,0,0,6
45,"Tarkowski, James",4,D,OWNED,31,3,1,4,1,9,61,9,30,6,0,0,1,35,204,155,0,55,7,0
46,"Sane, Leroy",13,F,OWNED,27,9,10,38,2,22,20,37,12,1,0,0,16,6,2,10,0,0,0,0
47,"Zaha, Wilfried",7,F,OWNED,30,8,3,43,5,23,38,126,92,7,1,1,11,7,1,8,0,0,0,0
48,"Rashford, Marcus",14,F,OWNED,28,10,6,28,1,34,18,39,44,3,0,1,9,2,21,25,0,0,0,0
49,"King, Joshua",1,F,OWNED,31,11,3,35,0,21,26,84,42,3,0,0,8,5,12,84,0,0,0,0
50,"Milner, James",12,M,OWNED,28,4,4,44,1,7,41,10,26,3,1,1,37,18,20,20,0,3,4,5
51,"Westwood, Ashley",4,M,OWNED,30,2,7,39,1,7,50,15,20,4,0,0,30,40,34,19,0,0,0,7
52,"Snodgrass, Robert",19,M,OWNED,31,2,5,55,0,7,39,41,48,8,0,0,54,11,17,25,0,0,0,3
53,Son Heung-Min,17,F,OWNED,27,12,6,27,2,25,21,35,18,2,0,0,6,5,2,4,0,0,0,5
54,"Barnes, Ashley",4,F,OWNED,33,10,2,21,1,26,23,32,59,7,0,0,1,0,16,107,1,0,0,0
55,David Luiz,6,D,OWNED,32,2,2,18,0,6,38,2,29,3,0,0,0,29,133,70,0,33,14,0
56,Sol Bamba,5,D,FA,28,4,1,4,0,7,74,11,12,7,0,0,0,82,175,94,0,50,7,0
57,"Camarasa, Victor",5,M,OWNED,29,5,4,47,0,12,26,41,27,6,0,0,40,31,24,18,0,0,0,8
58,"Holebas, Jose",18,D,OWNED,25,3,6,33,1,5,60,23,13,11,0,0,35,20,76,57,0,32,5,0
59,"Rondon, Salomon",15,F,OWNED,28,9,5,30,0,22,6,69,26,1,0,0,3,5,31,131,0,0,0,0
60,"Xhaka, Granit",2,M,OWNED,26,4,1,34,1,12,46,15,50,8,0,0,23,34,51,47,0,5,0,7
61,"Wan-Bissaka, Aaron",7,D,OWNED,31,0,2,12,0,0,120,30,15,4,0,1,11,70,113,42,0,39,11,0
62,"Brooks, David",1,M,OWNED,28,7,5,28,0,19,34,39,43,3,0,0,8,22,20,7,0,0,0,6
63,"Kante, N'Golo",6,M,OWNED,33,3,4,43,0,5,71,53,13,3,0,0,6,42,26,27,0,0,0,14
64,"Gueye, Idrissa",8,M,OWNED,29,0,1,14,0,3,126,28,37,5,0,0,2,65,43,30,0,0,0,10
65,"Laporte, Aymeric",13,D,OWNED,30,2,2,9,0,5,33,2,15,3,0,0,0,33,80,66,0,20,14,0
66,"Murray, Glenn",3,F,FA,33,11,0,9,0,18,16,31,51,5,0,0,0,2,14,138,0,0,0,0
67,"Doucoure, Abdoulaye",18,M,OWNED,30,5,6,30,0,15,62,29,13,4,0,0,2,25,51,34,1,0,0,5
68,"Hojbjerg, Pierre-Emile",16,M,OWNED,26,4,2,25,0,19,58,36,45,7,1,2,7,47,24,39,0,0,0,4
69,Solly March,3,M,OWNED,31,1,5,39,0,6,47,34,28,1,0,0,42,25,23,14,0,0,0,1
70,"Billing, Philip",10,M,OWNED,27,2,0,22,0,9,73,28,30,7,0,0,9,53,40,88,0,0,0,5
71,Lucas Moura,17,M,OWNED,27,10,0,21,2,16,31,30,34,3,0,0,1,23,21,26,0,0,0,4
72,"Seri, Jean Michael",9,M,OWNED,31,1,2,55,1,6,41,24,23,6,0,0,36,31,13,14,0,0,0,1
73,Johann Gudmundsson,4,M,OWNED,26,3,5,35,1,8,22,26,19,2,0,0,35,31,29,28,0,0,0,5
74,"Redmond, Nathan",16,M,OWNED,33,5,3,40,1,17,38,66,27,3,0,0,17,17,19,23,0,0,0,4
75,"McArthur, James",7,M,FA,34,2,5,27,1,6,73,35,29,6,0,0,3,34,35,42,0,0,0,10
76,"Martial, Anthony",14,F,OWNED,24,10,2,34,2,21,9,32,26,2,0,0,3,3,8,18,0,0,0,1
77,"Wood, Chris",4,F,OWNED,34,10,1,18,1,22,11,41,22,2,0,0,1,2,22,121,0,0,0,0
78,Jonny,20,D,OWNED,28,1,0,23,1,8,70,34,30,6,0,0,6,51,47,32,0,0,0,6
79,"Capoue, Etienne",18,M,OWNED,29,1,3,10,0,4,77,18,47,10,0,1,0,81,78,60,0,0,0,7
80,"Schar, Fabian",15,D,OWNED,20,3,1,10,0,6,52,8,15,11,0,0,2,55,114,59,0,18,6,0
81,"Lukaku, Romelu",14,F,OWNED,29,12,0,21,1,31,8,42,3,4,0,0,5,2,17,82,0,0,0,0
82,"Mustafi, Shkodran",2,D,FA,27,2,0,4,0,7,55,6,7,7,0,0,1,54,144,100,0,32,6,0
83,"Cook, Steve",1,D,OWNED,27,1,1,8,0,9,30,0,21,2,0,0,3,43,181,108,1,47,8,0
84,Ruben Neves,20,M,OWNED,30,3,2,22,0,12,63,25,16,8,0,0,5,65,33,27,0,0,0,6
85,"Mooy, Aaron",10,M,OWNED,26,3,1,39,0,13,57,39,12,4,0,0,39,14,18,14,0,0,0,2
86,Diogo Jota,20,M,OWNED,28,7,4,23,3,17,21,37,43,8,0,0,5,11,11,25,0,0,0,0
87,"Torreira, Lucas",2,M,OWNED,30,2,2,15,2,6,59,20,65,6,0,1,8,36,27,18,0,0,0,5
88,"Ward-Prowse, James",16,M,OWNED,21,6,0,38,0,12,29,11,9,3,0,0,31,20,46,18,1,0,0,2
89,"Gundogan, Ilkay",13,M,OWNED,26,5,2,35,0,10,16,13,18,2,0,0,24,17,17,23,0,0,0,9
90,"Mee, Ben",4,D,OWNED,34,0,2,7,0,4,51,4,17,9,0,0,2,38,200,144,1,60,8,0
91,"Tomkins, James",7,D,OWNED,29,1,1,7,0,7,34,3,12,6,0,0,0,34,181,91,0,37,10,0
92,"Schlupp, Jeffrey",7,D,OWNED,30,4,1,16,2,8,41,24,14,1,0,0,4,19,21,54,0,5,0,4
93,"Walker, Kyle",13,D,OWNED,28,1,1,16,0,4,37,11,11,3,0,0,4,31,41,38,0,16,14,0
94,Fernandinho,13,M,OWNED,27,1,3,21,0,7,55,12,25,5,0,0,0,40,67,68,0,1,0,12
95,"Mounie, Steve",10,F,FA,28,2,3,18,1,23,9,35,15,1,0,1,0,4,15,203,0,0,0,0
96,"Maguire, Harry",11,D,OWNED,27,3,0,10,1,13,27,7,14,5,0,1,0,35,128,106,0,37,4,0
97,Pedro,6,F,OWNED,27,8,1,23,0,22,21,29,21,1,0,0,9,18,7,6,0,0,0,0
98,"Ake, Nathan",1,D,OWNED,34,3,0,4,1,8,53,6,18,3,0,0,4,28,221,80,0,61,9,0
99,"Shaw, Luke",14,D,OWNED,26,1,3,28,1,7,54,14,17,10,0,0,14,21,70,45,0,30,6,0
100,"van Aanholt, Patrick",7,D,OWNED,34,2,2,35,0,10,43,15,13,3,0,0,11,35,77,8,0,43,11,0
101,"Pereyra, Roberto",18,M,FA,29,6,1,29,3,19,18,56,31,3,0,0,4,21,16,3,0,0,0,5
102,"Knockaert, Anthony",3,M,OWNED,27,2,6,32,0,8,31,31,17,4,0,1,36,25,5,14,0,0,0,1
103,"Ramsey, Aaron",2,M,OWNED,28,4,6,25,0,13,34,27,20,0,0,0,5,9,3,13,0,0,0,7
104,"Arnautovic, Marko",19,F,OWNED,24,7,3,29,1,26,9,25,12,3,0,0,5,3,4,22,0,0,0,0
105,"Young, Ashley",14,D,OWNED,25,2,2,33,1,3,41,16,30,7,1,1,35,47,55,18,0,35,4,0
106,"Hughes, Will",18,M,FA,27,2,4,23,0,6,62,45,52,5,0,0,2,23,19,16,0,0,0,5
107,"Gross, Pascal",3,M,OWNED,20,2,2,43,0,8,23,16,10,0,0,0,38,9,13,15,0,0,0,2
108,"Rose, Danny",17,D,OWNED,22,0,3,22,1,1,41,14,36,5,0,0,19,18,18,21,0,7,5,2
109,"Ecuele Manga, Bruno",5,D,FA,34,0,1,6,0,2,63,13,9,0,0,0,2,74,148,76,0,61,9,0
110,"Rudiger, Antonio",6,D,OWNED,32,1,0,8,1,5,34,9,15,7,0,0,0,32,93,83,0,34,12,0
111,"Antonio, Michail",19,M,OWNED,29,4,3,20,2,17,23,53,34,3,0,0,5,16,17,68,0,4,0,1
112,"Coleman, Seamus",8,D,OWNED,26,1,2,20,0,4,40,23,20,1,0,0,15,22,64,41,1,28,10,0
113,"Mahrez, Riyad",13,M,OWNED,26,6,3,22,0,22,13,26,14,0,0,0,15,8,2,18,0,0,0,2
114,"Chambers, Calum",9,D,OWNED,27,2,0,11,0,11,58,20,3,7,0,0,0,62,98,56,0,16,0,3
115,"Rice, Declan",19,M,OWNED,31,2,0,9,0,5,92,20,7,3,0,0,0,47,49,55,0,0,0,5
116,"Bennett, Ryan",20,D,OWNED,29,1,0,9,0,4,51,1,8,10,0,0,0,37,102,104,0,34,7,0
117,Danny Ings,16,F,FA,20,7,2,23,0,21,24,22,17,1,0,0,1,5,7,16,0,0,0,0
118,Jorginho,6,M,FA,33,2,0,23,0,6,70,31,21,7,0,0,1,53,30,10,0,0,0,14
119,"Zouma, Kurt",8,D,OWNED,28,2,2,6,0,3,28,6,11,3,1,1,0,41,109,92,0,36,7,0
120,"Dunk, Lewis",3,D,FA,31,2,1,10,0,3,40,3,11,4,1,1,0,41,148,101,0,48,6,0
121,"Mkhitaryan, Henrikh",2,M,OWNED,21,6,4,25,0,11,26,24,9,1,0,0,6,12,6,17,0,0,0,2
122,Bernard,8,M,FA,30,1,3,36,1,4,44,35,26,5,0,0,11,25,12,3,0,0,0,9
123,"Lascelles, Jamaal",15,D,OWNED,29,0,1,3,0,1,30,5,9,4,0,0,0,36,188,83,0,32,9,0
124,"Vestergaard, Jannik",16,D,OWNED,23,0,0,5,0,1,53,4,14,2,0,0,0,35,171,85,0,31,4,0
125,Dele Alli,17,M,OWNED,20,5,2,20,1,16,28,20,18,3,0,0,2,17,12,15,0,0,0,6
126,"McNeil, Dwight",4,F,OWNED,17,3,5,23,0,6,28,17,10,2,0,0,30,11,21,20,0,0,0,4
127,"Hoilett, David Junior",5,F,FA,28,3,1,21,1,8,34,35,34,4,0,0,13,29,23,17,0,0,0,5
128,Gabriel Jesus,13,F,OWNED,26,7,3,21,0,24,9,27,14,0,0,0,0,2,3,15,0,0,0,0
129,"Calvert-Lewin, Dominic",8,F,FA,32,6,1,9,3,14,12,39,26,3,0,0,1,7,16,97,0,0,0,0
130,"Morgan, Wes",11,D,FA,22,3,0,3,0,5,27,1,6,1,2,2,0,32,104,93,0,26,6,0
131,"Walcott, Theo",8,F,FA,33,3,2,21,1,16,25,35,22,1,0,0,11,18,6,14,0,0,0,5
132,"Iwobi, Alex",2,M,FA,30,3,4,33,2,12,24,50,9,0,0,0,11,11,9,3,0,0,0,2
133,"Schindler, Christopher",10,D,OWNED,33,1,0,2,1,3,50,4,17,4,1,1,0,61,110,122,0,62,5,0
134,"Hayden, Isaac",15,M,FA,21,1,3,18,0,4,61,21,13,3,0,1,4,35,25,49,0,0,0,4
135,"Diop, Issa",19,D,FA,30,1,0,4,0,3,63,1,16,4,0,0,0,51,134,73,1,42,5,0
136,"Hogg, Jonathan",10,M,FA,25,0,1,16,0,1,63,16,31,6,0,1,2,65,14,23,0,0,0,5
137,"Propper, Davy",3,M,FA,29,1,1,19,0,2,50,25,18,2,0,0,2,53,33,37,0,0,0,4
138,"De Bruyne, Kevin",13,M,OWNED,17,2,2,36,1,11,21,13,13,2,0,0,21,3,2,6,0,0,0,5
139,"Schurrle, Andre",9,M,FA,24,6,0,21,0,18,30,34,19,2,0,0,10,8,16,15,0,0,0,0
140,Fabinho,12,M,OWNED,25,1,2,16,0,4,54,14,24,6,0,0,3,25,22,51,0,0,1,9
141,"Matip, Joel",12,D,OWNED,20,1,0,2,0,2,36,1,15,3,0,0,0,27,67,60,0,12,7,0
142,"Taylor, Charlie",4,D,FA,34,0,1,10,0,0,52,13,46,2,0,0,19,35,74,65,0,56,7,0
143,Ryan Sessegnon,9,M,OWNED,31,2,6,31,1,9,19,41,17,0,0,0,12,15,33,14,0,5,0,1
144,"Ozil, Mesut",2,M,OWNED,21,4,2,38,1,4,11,22,22,1,0,0,14,4,4,5,0,0,0,2
145,"Deulofeu, Gerard",18,F,OWNED,25,7,5,24,0,14,9,42,9,2,0,0,4,13,3,3,0,0,0,1
146,"Cathcart, Craig",18,D,FA,31,3,0,1,0,5,47,4,8,2,0,0,0,35,162,81,2,43,6,0
147,"Bennett, Joe",5,D,FA,26,0,1,13,0,2,42,10,32,5,0,0,11,50,71,30,0,36,8,0
148,"Lerma, Jefferson",1,M,FA,26,1,0,12,2,7,36,18,42,11,0,0,1,47,71,69,1,0,0,7
149,"Shaqiri, Xherdan",12,M,FA,22,6,2,18,2,10,14,17,14,2,0,0,11,6,6,3,0,0,0,7
150,Zanka,10,D,FA,24,3,1,8,0,4,49,6,14,6,0,0,1,69,82,36,0,38,3,0
151,"Cork, Jack",4,M,FA,33,1,2,17,0,2,49,31,36,5,0,0,3,24,70,48,0,0,0,8
152,"Herrera, Ander",14,M,FA,20,2,3,14,0,7,50,8,16,3,0,0,1,37,21,4,0,2,0,4
153,"Gunnarsson, Aron",5,M,FA,24,1,1,15,0,4,44,4,25,4,0,0,2,35,48,42,0,0,0,5
154,"Albrighton, Marc",11,M,OWNED,23,2,2,24,0,6,31,17,15,3,0,0,20,20,23,15,0,0,0,4
155,"Ralls, Joe",5,M,FA,27,0,0,32,0,3,44,14,10,4,0,1,23,28,27,32,0,0,0,5
