,Player,Team,Position,Status,GP,G,A,KP,AF,SOT,Tk,DIS,FS,YC,SYC,RC,AC,Int,CLR,AER,OG,GAD,CSD,CSM
321,"Izquierdo, Jose",3,F,FA,13,0,1,6,1,3,13,10,5,1,0,0,1,4,4,2,0,0,0,2
322,"Hudson-Odoi, Callum",6,F,OWNED,9,0,1,8,0,3,8,5,6,0,0,0,5,2,0,2,0,0,0,0
323,"Batshuayi, Michy",7,F,OWNED,9,2,0,2,1,6,1,10,2,0,0,0,0,3,0,10,0,0,0,0
324,"Carroll, Andy",19,F,FA,12,0,0,4,0,6,4,8,8,2,0,0,0,1,8,46,0,0,0,0
325,"Coady, Conor",20,D,FA,33,0,0,2,0,0,28,4,10,5,0,0,0,28,111,34,3,42,7,0
326,"Jagielka, Phil",8,D,FA,5,1,0,2,0,1,7,0,3,0,0,1,0,2,11,14,0,2,2,0
327,"Kompany, Vincent",13,D,FA,13,0,0,1,0,0,12,0,0,4,0,0,0,8,42,25,0,6,2,0
328,"Yarmolenko, Andriy",19,F,FA,9,2,0,5,1,3,4,11,8,2,0,0,0,2,3,3,0,0,0,0
329,"Muto, Yoshinori",15,F,FA,14,1,0,4,0,3,7,12,10,0,0,0,0,5,3,10,0,0,0,0
330,"Origi, Divock",12,F,FA,10,2,1,3,0,4,4,8,4,0,0,0,0,0,1,3,0,0,0,0
331,"Kelly, Martin",7,D,FA,9,0,0,1,0,0,17,1,1,2,0,0,1,10,52,22,0,14,2,0
332,"Perez, Lucas",19,F,FA,12,2,0,6,0,2,5,7,3,0,0,0,1,2,3,2,0,0,0,0
333,"Mepham, Chris",1,D,FA,10,0,0,0,0,0,6,2,3,1,0,0,0,12,54,27,0,14,2,0
334,"Holding, Rob",2,D,FA,10,0,0,2,0,0,11,2,2,1,0,0,0,12,37,21,0,10,1,0
335,"Solanke, Dominic",1,F,FA,8,0,1,6,0,3,6,8,6,0,0,0,0,2,8,14,0,0,0,0
336,Antonio Valencia,14,D,FA,5,0,0,6,0,0,8,1,4,2,0,0,5,5,6,3,0,2,2,0
337,"Ibe, Jordon",1,M,FA,17,0,1,9,0,0,5,14,8,1,0,0,9,3,3,2,0,0,0,0
338,"Mawson, Alfie",9,D,FA,13,0,0,2,0,1,11,0,5,2,0,0,0,17,62,29,0,22,1,0
339,"Mbenza, Isaac",10,M,FA,18,0,1,5,0,3,8,8,5,1,0,0,5,5,2,1,0,0,0,0
340,"Ward, Danny",5,F,FA,11,1,0,5,0,3,0,2,3,0,0,0,0,0,8,22,0,0,0,0
341,"Lanzini, Manuel",19,M,FA,8,0,1,4,1,2,8,9,5,1,0,0,1,5,5,2,0,0,0,1
342,"Welbeck, Danny",2,F,FA,8,1,1,5,0,2,3,3,2,0,0,0,0,1,1,7,0,0,0,0
343,"Cleverley, Tom",18,M,FA,12,1,0,1,0,2,16,4,4,2,0,0,1,5,11,4,0,0,0,2
344,"Balogun, Leon",3,D,FA,8,1,0,0,0,1,12,2,2,2,0,0,0,17,32,13,0,10,0,0
345,"Clyne, Nathaniel",1,D,FA,15,0,0,1,0,1,32,10,5,2,0,0,4,16,21,5,0,18,2,0
346,"Darmian, Matteo",14,D,FA,5,0,0,2,0,1,13,2,4,0,0,0,1,7,16,3,0,4,1,0
347,"Choudhury, Hamza",11,M,FA,6,0,0,2,0,1,13,0,1,0,0,0,0,11,6,4,0,0,0,2
348,Andreas Pereira,14,M,FA,12,1,1,3,0,1,6,6,4,3,0,0,3,8,5,3,0,0,0,1
349,"Gibbs-White, Morgan",20,M,FA,22,0,1,7,0,1,4,13,6,1,0,0,4,1,0,11,0,0,0,1
350,Emerson,6,D,FA,9,0,0,3,0,1,14,9,6,0,0,0,2,8,8,4,0,9,2,0
351,"Quina, Domingos",18,M,FA,8,1,0,2,0,1,9,5,6,0,0,0,1,3,1,2,0,0,0,0
352,"Fredericks, Ryan",19,D,FA,12,0,0,3,0,1,27,2,5,4,0,0,5,8,32,10,0,16,1,0
353,"Cunningham, Greg",5,D,FA,7,0,0,5,0,1,18,1,13,3,0,0,2,17,13,4,0,17,1,0
354,"Foden, Phil",13,M,FA,11,0,0,7,0,3,3,3,4,0,0,0,1,2,0,2,0,0,0,1
355,"Wanyama, Victor",17,M,FA,8,1,0,0,0,2,7,3,3,0,0,0,1,3,4,6,0,0,0,2
356,"Diakhaby, Adama",10,F,FA,11,0,0,5,1,3,6,20,9,1,0,0,2,1,1,5,0,0,0,1
357,"Ward, Joel",7,D,FA,4,1,0,1,0,1,9,3,3,0,0,0,0,5,20,10,0,7,0,0
358,"Amartey, Daniel",11,M,FA,9,0,0,3,0,1,18,4,1,2,0,0,0,16,25,14,0,9,1,0
359,"Wilshere, Jack",19,M,OWNED,5,0,1,3,0,1,7,7,10,2,0,0,0,7,0,2,0,0,0,0
360,"Ream, Tim",9,D,FA,23,0,0,3,0,0,20,5,7,1,0,0,0,21,64,43,0,48,3,0
361,"Ayite, Floyd",9,F,FA,12,1,0,4,0,1,3,12,6,0,0,0,0,5,3,5,0,0,0,0
362,"Nasri, Samir",19,M,FA,5,0,2,6,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1
363,"Bacuna, Leandro",5,D,FA,7,0,0,0,0,1,9,2,2,1,0,0,2,11,6,7,0,1,0,0
364,"Mousset, Lys",1,F,FA,21,1,0,3,0,3,3,5,5,1,0,0,0,1,2,8,0,0,0,0
365,"Simpson, Danny",11,D,FA,5,0,0,1,0,0,11,2,0,0,0,0,0,6,14,8,0,4,1,0
366,"Okazaki, Shinji",11,F,FA,20,0,1,1,0,4,4,5,4,0,0,0,0,2,1,7,0,0,0,0
367,"Obafemi, Michael",16,F,FA,6,1,1,2,0,3,1,2,3,1,0,0,1,1,0,0,0,0,0,0
368,"Cook, Lewis",1,M,FA,13,0,0,2,0,0,13,9,5,2,0,0,0,8,7,5,0,0,0,3
369,"Soyuncu, Caglar",11,D,FA,6,0,0,0,0,0,5,1,2,1,0,0,1,7,22,16,0,4,0,0
370,"Christensen, Andreas",6,D,FA,5,0,0,0,0,0,8,0,2,1,0,0,0,4,13,8,0,5,2,0
371,"Vydra, Matej",4,F,FA,11,1,1,2,0,3,2,8,1,1,0,0,0,1,6,3,0,0,0,0
372,"Bailly, Eric",14,D,FA,11,0,0,0,0,0,12,1,4,0,0,1,0,12,34,12,0,12,1,0
373,"McDonald, Kevin",9,M,FA,15,0,0,4,0,0,15,5,6,4,1,1,0,9,20,19,0,0,0,0
374,"Defour, Steven",4,M,FA,6,0,0,2,0,0,8,1,2,0,0,0,0,8,6,0,0,0,0,0
375,"Puncheon, Jason",10,M,FA,11,0,0,5,0,0,8,13,2,1,0,0,2,4,8,6,0,0,0,1
376,"Fuchs, Christian",11,D,FA,3,0,0,6,0,0,4,1,2,0,0,0,4,4,7,3,0,5,0,0
377,"Dann, Scott",7,D,FA,7,0,0,0,0,0,5,0,0,1,0,0,0,4,26,13,0,6,1,0
378,"Wickham, Connor",7,F,FA,5,0,1,4,0,1,0,2,0,0,0,0,0,0,2,7,0,0,0,0
379,"Baines, Leighton",8,D,FA,6,0,0,4,0,1,8,1,1,0,0,0,6,2,7,2,0,6,0,0
380,"Skipp, Oliver",17,M,FA,7,0,0,1,0,0,6,2,3,0,0,0,0,1,5,9,0,0,0,1
381,Mohamed Elneny,2,M,FA,6,0,0,2,0,0,10,3,0,0,0,0,0,1,6,1,0,0,0,0
382,"Crouch, Peter",4,F,FA,5,0,0,0,1,1,1,0,0,1,0,0,0,0,2,15,0,0,0,0
383,"Ward, Stephen",4,D,FA,3,0,0,1,0,1,4,0,3,1,0,0,0,4,12,4,0,6,1,0
384,"Nordtveit, Havard",9,M,FA,4,0,1,3,0,0,9,0,2,0,0,0,0,8,14,4,0,10,0,0
385,Josh Sims,16,M,FA,4,0,1,1,0,1,1,4,3,0,0,0,0,0,1,0,0,0,0,0
386,"Fosu-Mensah, Timothy",9,D,FA,12,0,0,6,0,1,18,4,1,3,0,0,3,12,25,7,1,18,1,0
387,"Sanchez, Carlos",19,M,FA,5,0,0,2,0,0,4,2,1,0,0,0,0,1,2,1,0,0,0,0
388,"Slattery, Callum",16,M,FA,3,0,0,0,0,0,4,2,3,0,0,0,0,2,1,3,0,0,0,0
389,"Moreno, Alberto",12,D,FA,2,0,0,3,0,0,3,0,1,0,0,0,1,2,0,0,0,2,0,0
390,"Lichtsteiner, Stephan",2,D,FA,12,0,0,2,0,0,12,11,10,2,0,0,1,6,21,13,0,16,0,0
391,"Gibson, Ben",4,D,FA,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,2,0,3,0,0
392,"Chalobah, Nathaniel",18,M,FA,7,0,0,1,0,1,1,3,3,2,0,0,0,4,6,3,0,0,0,0
393,"Mavropanos, Konstantinos",2,D,FA,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0
394,"Britos, Miguel",18,D,FA,3,0,0,0,0,0,4,0,1,0,0,0,0,3,10,5,0,5,0,0
395,"Kebano, Neeskens",9,M,FA,6,0,0,0,0,0,3,3,1,0,0,0,1,0,3,4,0,0,0,0
396,"Simpson, Jack",1,D,FA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,1,0,0
397,"Duhaney, Demeaco",10,D,FA,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0
398,"Sabiri, Abdelhamid",10,M,FA,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0
399,"Cisse, Ibrahima",9,M,FA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0
400,"Zappacosta, Davide",6,D,FA,3,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0
401,"Gomes, Angel",14,M,FA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
402,"Jenkinson, Carl",2,D,FA,2,0,0,1,0,0,3,3,0,0,0,0,0,0,1,1,0,1,0,0
403,"Suarez, Denis",2,M,OWNED,4,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
404,"Navarro, Marc",18,D,FA,1,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,2,0,0
405,"Healey, Rhys",5,F,FA,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
406,Eddie Nketiah,2,F,FA,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
407,"Souare, Pape",7,D,FA,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
408,Xande Silva,19,F,FA,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
409,"Surridge, Sam",1,F,FA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
410,"Amos, Luke",17,M,FA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
411,"Gallagher, Sam",16,F,FA,4,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0,0
412,"Cahill, Gary",6,D,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
413,"Markovic, Lazar",9,M,FA,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
414,"Camacho, Rafael",12,M,FA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
415,"Chong, Tahith",14,M,FA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
416,Joe Willock,2,M,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
417,"Smith, Tommy",10,D,FA,11,0,0,4,0,0,17,3,5,2,0,1,3,15,20,10,0,27,1,0
418,"Damour, Loic",5,M,FA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
419,"Greenwood, Mason",14,F,FA,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
420,"Oxlade-Chamberlain, Alex",12,M,OWNED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,"Drinkwater, Daniel",6,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,Steven Sessegnon,9,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,"Barreca, Antonio",15,D,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,"Prodl, Sebastian",18,D,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,"Janssen, Vincent",17,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,"James, Matty",11,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,"Reid, Winston",19,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,"Riedewald, Jairo",7,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,"Ampadu, Ethan",6,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,"Brewster, Rhian",12,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,"Mangala, Eliaquim",13,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,"Woodburn, Ben",12,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,"Bohui, Joshua",14,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,"McCarthy, James",8,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,"Agyei, Daniel",4,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,"Penaranda, Adalberto",18,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,"Saka, Bukayo",2,F,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,"Walters, Jonathan",4,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,"Bernabe, Adrian",13,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,"Ofoborh, Nnamdi",1,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,"Barnes, Marcus",16,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,"John-Jules, Tyreece",2,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,"Marsh, George",17,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,"McEachran, George",6,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,"Osei-Tutu, Jordi",2,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,"Poveda-Ocampo, Ian Carlo",13,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,Benny Ashley-Seal,20,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,"Benson, Josh",4,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,"Butcher, Matt",1,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,"De La Torre, Luca",9,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,"Hoever, Ki-Jana",12,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,"Humphreys-Grant, Cameron",13,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,"Humphries, Lloyd",5,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,"Jones, Curtis",12,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,Gio McGregor,7,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,"O'Keefe, Stuart",5,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,"Pleguezuelo, Julio",2,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,"Sako, Bakary",7,F,FA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,"Collar, Will",3,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,"Connolly, Matthew",5,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,"Coventry, Conor",19,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,"Garner, James",14,M,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,"Gilmour, Charlie",2,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,"Gomes, Claudio",13,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,"Gyokeres, Viktor",3,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,"Johnson, Ben",19,M,FA,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0
467,"Johnson, Tyreke",16,M,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,"Jones, Alfie",16,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,"Leshabela, Thakgalo",11,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,"Medley, Zech",2,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,"Nmecha, Felix",13,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,"O'Riley, Matt",9,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Pote,20,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,"Richards, Taylor",13,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,"Rowe, Aaron",10,M,FA,2,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0
476,"Sandler, Philippe",13,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,"Taylor, Kyle",1,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,"Watt, Elliot",20,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,"Burn, Dan",3,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,"Christie-Davies, Isaac",12,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,"Coxe, Cameron",5,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,"Elliott, Harvey",9,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,"Eyoma, Timothy",17,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,"Garcia, Eric",13,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,"Giles, Ryan John",20,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,"Holland, Nathan",19,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,"John, Cameron",20,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,"Ostigard, Leo Skiri",3,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,"Sanders, Max",3,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,Matty Daly,10,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,"Ennis, Niall",20,F,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,"Kilman, Max",20,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,"Molumby, Jayson",3,M,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,"Woods, Sam",7,D,FA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,"Rojo, Marcos",14,D,FA,4,0,0,0,0,3,5,0,1,1,0,0,0,5,9,2,1,5,0,0
496,"Williams, Danny",10,M,FA,5,0,0,1,0,0,0,4,1,1,0,0,0,1,2,0,0,0,0,0
497,"Ramsay, Kayne",16,D,FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,3,0,0
498,Jazz Richards,5,D,FA,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,0,0
