"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A","KP","AF","SOT","Tk","DIS","FS","YC","SYC","RC","AC","Int","CLR","AER","OG","GAD","CSD","CSM"
"Hazard, Eden","CHE","F","1","Mayomen","BURN Mon 3:00PM","579","17.55","100%","0%","33","16","12","85","0","40","12","78","97","2","0","0","28","12","4","18","0","0","0","0"
"Maddison, James","LEIC","M","2","Farsi","@WHU Sat 10:00AM","494.5","15.45","99%","0%","32","7","6","93","0","25","44","33","69","3","1","1","61","12","5","10","0","0","0","5"
"Mohamed Salah","LIV","F","3","CTMS","@CAR Sun 11:00AM","483","14.21","100%","0%","34","19","7","62","3","56","18","111","30","1","0","0","16","5","4","11","0","0","0","0"
"Fraser, Ryan","BOUR","M","4","SLAM","FUL Sat 10:00AM","482","14.18","95%","0%","34","7","12","77","0","21","18","25","59","2","0","0","59","21","19","11","0","0","0","7"
"Sigurdsson, Gylfi","EVE","M","5","Mayomen","MUN Sun 8:30AM","475","13.97","100%","0%","34","12","4","64","0","32","51","28","36","3","0","0","43","25","18","18","0","0","0","10"
"Sterling, Raheem","MCI","M,F","6","Farsi","TOT Sat 7:30AM","473.5","16.33","100%","0%","29","17","9","59","4","35","28","73","37","2","0","0","11","15","4","8","0","0","0","2"
"Milivojevic, Luka","CRY","M","7","susej","@ARS Sun 11:00AM","473.5","13.93","99%","0%","34","12","1","46","0","25","78","17","31","8","0","0","43","63","57","48","0","0","0","11"
"Pogba, Paul","MUN","M","8","susej","@EVE Sun 8:30AM","463.5","15.45","100%","0%","30","13","9","46","1","48","41","75","58","5","0","0","3","16","32","52","0","0","0","7"
"Digne, Lucas","EVE","D","9","DerianT","MUN Sun 8:30AM","462.5","14.92","96%","0%","31","3","4","58","0","8","61","29","29","4","0","1","72","55","80","82","1","34","10","0"
"Felipe Anderson","WHU","M","10","JRs","LEIC Sat 10:00AM","440","13.33","99%","0%","33","9","4","58","1","22","77","50","49","3","0","0","32","36","10","10","0","0","0","4"
"Doherty, Matt","WOLVES","D","11","Martin","BRIGHT Sat 10:00AM","436.75","13.23","94%","0%","33","3","4","31","2","16","61","20","15","4","0","0","12","50","79","136","1","2","0","6"
"van Dijk, Virgil","LIV","D","12","DerianT","@CAR Sun 11:00AM","436.25","12.83","100%","0%","34","3","2","7","2","7","34","1","17","1","0","0","0","39","183","152","0","20","17","0"
"Mane, Sadio","LIV","F","13","BOOM","@CAR Sun 11:00AM","433","13.53","100%","0%","32","18","1","36","2","37","34","37","55","2","0","0","5","15","8","31","0","0","0","7"
"Joao Moutinho","WOLVES","M","14","EBDB","BRIGHT Sat 10:00AM","409.5","12.41","95%","+0.1%","33","1","8","68","0","2","99","19","33","3","0","0","47","36","35","20","0","0","0","6"
"Ricardo Pereira","LEIC","D","15","EBDB","@WHU Sat 10:00AM","401","12.94","99%","0%","31","2","5","32","2","8","106","33","45","6","0","0","15","52","94","57","0","28","6","1"
"Jimenez, Raul","WOLVES","F","16","Martin","BRIGHT Sat 10:00AM","396.5","12.02","99%","0%","33","12","7","39","3","33","27","59","32","4","0","0","7","24","36","72","0","0","0","0"
"Kane, Harry","TOT","F","17","Farsi","@MCI Sat 7:30AM","395.5","14.12","94%","0%","28","17","4","30","2","46","10","44","52","5","0","0","4","1","14","49","0","0","0","0"
"Robertson, Andrew","LIV","D","18","Martin","@CAR Sun 11:00AM","391.25","12.23","100%","0%","32","0","9","44","1","4","75","23","14","4","0","0","18","29","43","20","0","18","18","0"
"Mitrovic, Aleksandar","FUL","F","19","susej","@BOUR Sat 10:00AM","387.5","11.74","97%","+0.1%","33","10","3","29","1","44","19","85","54","6","0","0","1","6","51","216","0","0","0","0"
"Aguero, Sergio","MCI","F","20","BOOM","TOT Sat 7:30AM","387","13.82","100%","0%","28","19","7","29","3","38","17","45","21","3","0","0","0","8","3","15","0","0","0","0"
"Eriksen, Christian","TOT","M","21","Mayomen","@MCI Sat 7:30AM","385","12.83","100%","0%","30","6","12","66","0","24","34","27","13","2","0","0","28","14","7","9","0","0","0","5"
"Aubameyang, Pierre-Emerick","ARS","F","22","EBDB","CRY Sun 11:00AM","382.5","11.95","100%","0%","32","18","5","29","2","33","19","27","18","0","0","0","6","7","18","32","0","0","0","2"
"Lacazette, Alexandre","ARS","F","23","CTMS","CRY Sun 11:00AM","380","12.26","100%","0%","31","13","7","26","4","28","32","52","49","2","0","0","5","14","26","42","0","0","0","0"
"Paterson, Callum","CAR","D","24","FA","CAR 2<br/>@BRIGHT 0 F","380","14.07","51%","-0.3%","27","4","1","23","1","8","21","12","30","4","0","0","5","8","28","202","0","0","1","1"
"Deeney, Troy","WAT","F","25","Farsi","@HUD Sat 10:00AM","366.5","12.22","84%","-0.5%","30","9","5","39","0","27","23","33","32","4","0","1","2","7","28","190","0","0","0","0"
"Willian","CHE","F","26","CTMS","BURN Mon 3:00PM","357.5","11.92","98%","+0.1%","30","3","6","74","1","21","34","35","30","1","0","0","37","13","9","10","0","0","0","0"
"Morrison, Sean","CAR","D","27","CTMS","CAR 2<br/>@BRIGHT 0 F","355.5","11.85","81%","-0.1%","30","1","3","19","1","8","25","6","18","5","0","0","0","50","182","205","0","57","8","0"
"Alonso, Marcos","CHE","D","28","DerianT","BURN Mon 3:00PM","352.25","12.58","99%","0%","28","1","4","31","4","6","67","25","32","6","0","0","9","32","71","59","0","27","12","0"
"Roberto Firmino","LIV","F","29","Martin","@CAR Sun 11:00AM","346.5","10.5","100%","0%","33","12","6","42","2","34","30","59","10","0","0","0","1","6","15","28","0","0","0","7"
"Azpilicueta, Cesar","CHE","D","30","CTMS","BURN Mon 3:00PM","345.25","10.15","100%","0%","34","1","4","25","1","5","93","9","15","4","0","0","20","37","63","59","0","36","14","0"
"Alexander-Arnold, Trent","LIV","D","31","JRs","@CAR Sun 11:00AM","345","13.8","100%","0%","25","1","7","36","0","9","52","14","7","3","0","0","47","31","52","7","0","12","12","0"
"Townsend, Andros","CRY","M","32","Farsi","@ARS Sun 11:00AM","343.5","10.1","97%","0%","34","4","3","54","1","14","59","71","50","1","0","0","38","34","15","4","0","0","0","3"
"Ritchie, Matt","NEW","M","33","DerianT","SOU Sat 12:30PM","343.5","10.73","85%","0%","32","2","5","49","0","10","54","17","37","8","0","0","59","46","52","28","0","17","5","4"
"Silva, David","MCI","M","34","BOOM","TOT Sat 7:30AM","342","12.21","100%","0%","28","6","6","65","0","20","25","28","23","2","0","0","18","17","10","16","0","0","0","11"
"Trippier, Kieran","TOT","D","35","BOOM","@MCI Sat 7:30AM","339.25","13.57","100%","0%","25","1","3","45","2","3","62","14","22","2","0","0","52","22","57","30","1","15","7","1"
"Chilwell, Ben","LEIC","D","36","DerianT","@WHU Sat 10:00AM","336.75","10.52","88%","-0.1%","32","0","3","39","1","8","42","46","40","3","0","0","20","34","107","102","0","35","8","0"
"Vardy, Jamie","LEIC","F","37","SLAM","@WHU Sat 10:00AM","331","11.03","99%","0%","30","15","4","25","1","35","12","18","17","3","0","1","5","5","23","64","0","0","0","0"
"Keane, Michael","EVE","D","38","JRs","MUN Sun 8:30AM","325","11.21","89%","0%","29","1","2","8","0","7","36","1","7","2","0","0","1","42","162","163","0","37","10","0"
"Duffy, Shane","BRIGHT","D","39","susej","CAR 2<br/>@BRIGHT 0 F","324","10.8","94%","-0.2%","30","5","1","6","1","15","28","1","10","4","0","1","1","34","202","170","0","47","6","0"
"Wilfred Ndidi","LEIC","M","40","susej","@WHU Sat 10:00AM","323","9.5","89%","-0.2%","34","2","0","21","0","8","124","33","21","7","0","0","0","69","73","125","0","0","0","8"
"Bernardo Silva","MCI","M","41","JRs","TOT Sat 7:30AM","322","10.39","100%","0%","31","6","7","58","1","15","38","30","20","3","0","0","10","20","22","6","0","0","0","7"
"Ayoze Perez","NEW","F","42","BOOM","SOU Sat 12:30PM","321","9.73","83%","+0.3%","33","7","2","43","0","23","56","68","38","2","0","0","3","41","28","22","0","0","0","5"
"Boly, Willy","WOLVES","D","43","BOOM","BRIGHT Sat 10:00AM","320.25","10.33","86%","+0.1%","31","4","0","7","0","6","75","15","13","2","0","1","0","63","151","124","0","37","6","0"
"Wilson, Callum","BOUR","F","44","Martin","FUL Sat 10:00AM","316.5","12.17","93%","0%","26","12","8","29","3","25","8","40","27","3","0","0","5","3","14","41","0","0","0","0"
"Richarlison","EVE","F","45","EBDB","MUN Sun 8:30AM","314.5","9.83","99%","+0.1%","32","12","1","17","1","26","47","86","70","5","0","1","2","15","37","67","0","0","0","6"
"Tarkowski, James","BURN","D","46","SLAM","@CHE Mon 3:00PM","314.5","10.15","90%","-0.1%","31","3","1","4","1","9","61","9","30","6","0","0","1","35","204","155","0","55","7","0"
"Sane, Leroy","MCI","F","47","susej","TOT Sat 7:30AM","310.5","11.5","100%","0%","27","9","10","38","2","22","20","37","12","1","0","0","16","6","2","10","0","0","0","0"
"Zaha, Wilfried","CRY","F","48","EBDB","@ARS Sun 11:00AM","309","10.3","99%","0%","30","8","3","43","5","23","38","126","92","7","1","1","11","7","1","8","0","0","0","0"
"Rashford, Marcus","MUN","F","49","JRs","@EVE Sun 8:30AM","306","10.93","99%","0%","28","10","6","28","1","34","18","39","44","3","0","1","9","2","21","25","0","0","0","0"
"King, Joshua","BOUR","F","50","DerianT","FUL Sat 10:00AM","301","9.71","97%","0%","31","11","3","35","0","21","26","84","42","3","0","0","8","5","12","84","0","0","0","0"
"Milner, James","LIV","M","51","JRs","@CAR Sun 11:00AM","298","10.64","88%","0%","28","4","4","44","1","7","41","10","26","3","1","1","37","18","20","20","0","3","4","5"
"Westwood, Ashley","BURN","M","52","Martin","@CHE Mon 3:00PM","295","9.83","50%","-0.2%","30","2","7","39","1","7","50","15","20","4","0","0","30","40","34","19","0","0","0","7"
"Snodgrass, Robert","WHU","M","53","Farsi","LEIC Sat 10:00AM","295","9.52","45%","+0.4%","31","2","5","55","0","7","39","41","48","8","0","0","54","11","17","25","0","0","0","3"
"Son Heung-Min","TOT","F","54","Martin","@MCI Sat 7:30AM","293.5","10.87","100%","0%","27","12","6","27","2","25","21","35","18","2","0","0","6","5","2","4","0","0","0","5"
"Barnes, Ashley","BURN","F","55","DerianT","@CHE Mon 3:00PM","292.5","8.86","52%","-0.1%","33","10","2","21","1","26","23","32","59","7","0","0","1","0","16","107","1","0","0","0"
"David Luiz","CHE","D","56","CTMS","BURN Mon 3:00PM","291.25","9.1","96%","0%","32","2","2","18","0","6","38","2","29","3","0","0","0","29","133","70","0","33","14","0"
"Sol Bamba","CAR","D","57","FA","CAR 2<br/>@BRIGHT 0 F","291.25","10.4","55%","-0.2%","28","4","1","4","0","7","74","11","12","7","0","0","0","82","175","94","0","50","7","0"
"Camarasa, Victor","CAR","M","58","Martin","CAR 2<br/>@BRIGHT 0 F","289.5","9.98","57%","-0.1%","29","5","4","47","0","12","26","41","27","6","0","0","40","31","24","18","0","0","0","8"
"Holebas, Jose","WAT","D","59","EBDB","@HUD Sat 10:00AM","287.5","11.5","84%","+0.1%","25","3","6","33","1","5","60","23","13","11","0","0","35","20","76","57","0","32","5","0"
"Rondon, Salomon","NEW","F","60","Farsi","SOU Sat 12:30PM","283","10.11","75%","0%","28","9","5","30","0","22","6","69","26","1","0","0","3","5","31","131","0","0","0","0"
"Xhaka, Granit","ARS","M","61","CTMS","CRY Sun 11:00AM","282","10.85","77%","+0.2%","26","4","1","34","1","12","46","15","50","8","0","0","23","34","51","47","0","5","0","7"
"Wan-Bissaka, Aaron","CRY","D","62","BOOM","@ARS Sun 11:00AM","280.25","9.04","87%","+0.1%","31","0","2","12","0","0","120","30","15","4","0","1","11","70","113","42","0","39","11","0"
"Brooks, David","BOUR","M","63","Martin","FUL Sat 10:00AM","275","9.82","74%","+0.1%","28","7","5","28","0","19","34","39","43","3","0","0","8","22","20","7","0","0","0","6"
"Kante, N'Golo","CHE","M","64","EBDB","BURN Mon 3:00PM","271","8.21","97%","0%","33","3","4","43","0","5","71","53","13","3","0","0","6","42","26","27","0","0","0","14"
"Gueye, Idrissa","EVE","M","65","CTMS","MUN Sun 8:30AM","266","9.17","54%","+0.1%","29","0","1","14","0","3","126","28","37","5","0","0","2","65","43","30","0","0","0","10"
"Laporte, Aymeric","MCI","D","66","susej","TOT Sat 7:30AM","265","8.83","98%","0%","30","2","2","9","0","5","33","2","15","3","0","0","0","33","80","66","0","20","14","0"
"Murray, Glenn","BRIGHT","F","67","FA","CAR 2<br/>@BRIGHT 0 F","260.5","7.89","67%","-0.2%","33","11","0","9","0","18","16","31","51","5","0","0","0","2","14","138","0","0","0","0"
"Doucoure, Abdoulaye","WAT","M","68","CTMS","@HUD Sat 10:00AM","259.5","8.65","96%","+0.1%","30","5","6","30","0","15","62","29","13","4","0","0","2","25","51","34","1","0","0","5"
"Hojbjerg, Pierre-Emile","SOU","M","69","CTMS","@NEW Sat 12:30PM","259.5","9.98","55%","+0.2%","26","4","2","25","0","19","58","36","45","7","1","2","7","47","24","39","0","0","0","4"
"Solly March","BRIGHT","M","70","DerianT","CAR 2<br/>@BRIGHT 0 F","259","8.35","49%","+0.4%","31","1","5","39","0","6","47","34","28","1","0","0","42","25","23","14","0","0","0","1"
"Billing, Philip","HUD","M","71","SLAM","WAT Sat 10:00AM","259","9.59","47%","-0.2%","27","2","0","22","0","9","73","28","30","7","0","0","9","53","40","88","0","0","0","5"
"Lucas Moura","TOT","M","72","DerianT","@MCI Sat 7:30AM","258","9.56","95%","+0.2%","27","10","0","21","2","16","31","30","34","3","0","0","1","23","21","26","0","0","0","4"
"Seri, Jean Michael","FUL","M","73","EBDB","@BOUR Sat 10:00AM","258","8.32","65%","-0.2%","31","1","2","55","1","6","41","24","23","6","0","0","36","31","13","14","0","0","0","1"
"Johann Gudmundsson","BURN","M","74","CTMS","@CHE Mon 3:00PM","256","9.85","79%","0%","26","3","5","35","1","8","22","26","19","2","0","0","35","31","29","28","0","0","0","5"
"Redmond, Nathan","SOU","M","75","JRs","@NEW Sat 12:30PM","255.5","7.74","81%","+0.3%","33","5","3","40","1","17","38","66","27","3","0","0","17","17","19","23","0","0","0","4"
"McArthur, James","CRY","M","76","FA","@ARS Sun 11:00AM","254.5","7.49","37%","0%","34","2","5","27","1","6","73","35","29","6","0","0","3","34","35","42","0","0","0","10"
"Martial, Anthony","MUN","F","77","Mayomen","@EVE Sun 8:30AM","253","10.54","97%","0%","24","10","2","34","2","21","9","32","26","2","0","0","3","3","8","18","0","0","0","1"
"Wood, Chris","BURN","F","78","JRs","@CHE Mon 3:00PM","252","7.41","49%","+0.2%","34","10","1","18","1","22","11","41","22","2","0","0","1","2","22","121","0","0","0","0"
"Jonny","WOLVES","D","79","susej","BRIGHT Sat 10:00AM","251.75","8.99","72%","+0.2%","28","1","0","23","1","8","70","34","30","6","0","0","6","51","47","32","0","0","0","6"
"Capoue, Etienne","WAT","M","80","BOOM","@HUD Sat 10:00AM","251","8.66","53%","+0.2%","29","1","3","10","0","4","77","18","47","10","0","1","0","81","78","60","0","0","0","7"
"Schar, Fabian","NEW","D","81","BOOM","SOU Sat 12:30PM","244.5","12.22","58%","+0.3%","20","3","1","10","0","6","52","8","15","11","0","0","2","55","114","59","0","18","6","0"
"Lukaku, Romelu","MUN","F","82","Mayomen","@EVE Sun 8:30AM","244","8.41","99%","0%","29","12","0","21","1","31","8","42","3","4","0","0","5","2","17","82","0","0","0","0"
"Mustafi, Shkodran","ARS","D","83","FA","CRY Sun 11:00AM","243","9","86%","+0.1%","27","2","0","4","0","7","55","6","7","7","0","0","1","54","144","100","0","32","6","0"
"Cook, Steve","BOUR","D","84","susej","FUL Sat 10:00AM","241.25","8.94","62%","+0.4%","27","1","1","8","0","9","30","0","21","2","0","0","3","43","181","108","1","47","8","0"
"Ruben Neves","WOLVES","M","85","DerianT","BRIGHT Sat 10:00AM","239","7.97","89%","-0.1%","30","3","2","22","0","12","63","25","16","8","0","0","5","65","33","27","0","0","0","6"
"Mooy, Aaron","HUD","M","86","Farsi","WAT Sat 10:00AM","236.5","9.1","70%","-0.1%","26","3","1","39","0","13","57","39","12","4","0","0","39","14","18","14","0","0","0","2"
"Diogo Jota","WOLVES","M","87","DerianT","BRIGHT Sat 10:00AM","235","8.39","92%","+0.1%","28","7","4","23","3","17","21","37","43","8","0","0","5","11","11","25","0","0","0","0"
"Torreira, Lucas","ARS","M","88","JRs","CRY Sun 11:00AM","231","7.7","57%","0%","30","2","2","15","2","6","59","20","65","6","0","1","8","36","27","18","0","0","0","5"
"Ward-Prowse, James","SOU","M","89","Martin","@NEW Sat 12:30PM","230.5","10.98","67%","+0.1%","21","6","0","38","0","12","29","11","9","3","0","0","31","20","46","18","1","0","0","2"
"Gundogan, Ilkay","MCI","M","90","EBDB","TOT Sat 7:30AM","230","8.85","88%","+0.2%","26","5","2","35","0","10","16","13","18","2","0","0","24","17","17","23","0","0","0","9"
"Mee, Ben","BURN","D","91","BOOM","@CHE Mon 3:00PM","230","6.76","57%","0%","34","0","2","7","0","4","51","4","17","9","0","0","2","38","200","144","1","60","8","0"
"Tomkins, James","CRY","D","92","BOOM","@ARS Sun 11:00AM","228.75","7.89","48%","0%","29","1","1","7","0","7","34","3","12","6","0","0","0","34","181","91","0","37","10","0"
"Schlupp, Jeffrey","CRY","D","93","BOOM","@ARS Sun 11:00AM","228.25","7.61","48%","-0.6%","30","4","1","16","2","8","41","24","14","1","0","0","4","19","21","54","0","5","0","4"
"Walker, Kyle","MCI","D","94","JRs","TOT Sat 7:30AM","226.75","8.1","99%","0%","28","1","1","16","0","4","37","11","11","3","0","0","4","31","41","38","0","16","14","0"
"Fernandinho","MCI","M","95","EBDB","TOT Sat 7:30AM","226","8.37","91%","+0.1%","27","1","3","21","0","7","55","12","25","5","0","0","0","40","67","68","0","1","0","12"
"Mounie, Steve","HUD","F","96","FA","WAT Sat 10:00AM","226","8.07","38%","0%","28","2","3","18","1","23","9","35","15","1","0","1","0","4","15","203","0","0","0","0"
"Maguire, Harry","LEIC","D","97","SLAM","@WHU Sat 10:00AM","222.5","8.24","95%","0%","27","3","0","10","1","13","27","7","14","5","0","1","0","35","128","106","0","37","4","0"
"Pedro","CHE","F","98","EBDB","BURN Mon 3:00PM","222.5","8.24","88%","+0.1%","27","8","1","23","0","22","21","29","21","1","0","0","9","18","7","6","0","0","0","0"
"Ake, Nathan","BOUR","D","99","CTMS","FUL Sat 10:00AM","220.25","6.48","72%","+0.2%","34","3","0","4","1","8","53","6","18","3","0","0","4","28","221","80","0","61","9","0"
"Shaw, Luke","MUN","D","100","Mayomen","@EVE Sun 8:30AM","219.5","8.44","83%","0%","26","1","3","28","1","7","54","14","17","10","0","0","14","21","70","45","0","30","6","0"
"van Aanholt, Patrick","CRY","D","101","SLAM","@ARS Sun 11:00AM","218.75","6.43","80%","+0.1%","34","2","2","35","0","10","43","15","13","3","0","0","11","35","77","8","0","43","11","0"
"Pereyra, Roberto","WAT","M","102","FA","@HUD Sat 10:00AM","217.5","7.5","77%","+0.1%","29","6","1","29","3","19","18","56","31","3","0","0","4","21","16","3","0","0","0","5"
"Knockaert, Anthony","BRIGHT","M","103","DerianT","CAR 2<br/>@BRIGHT 0 F","216.5","8.02","50%","-0.5%","27","2","6","32","0","8","31","31","17","4","0","1","36","25","5","14","0","0","0","1"
"Ramsey, Aaron","ARS","M","104","SLAM","CRY Sun 11:00AM","216","7.71","85%","-1.3%","28","4","6","25","0","13","34","27","20","0","0","0","5","9","3","13","0","0","0","7"
"Arnautovic, Marko","WHU","F","105","EBDB","LEIC Sat 10:00AM","215.5","8.98","90%","+0.1%","24","7","3","29","1","26","9","25","12","3","0","0","5","3","4","22","0","0","0","0"
"Young, Ashley","MUN","D","106","Farsi","@EVE Sun 8:30AM","214.75","8.59","73%","-0.1%","25","2","2","33","1","3","41","16","30","7","1","1","35","47","55","18","0","35","4","0"
"Hughes, Will","WAT","M","107","FA","@HUD Sat 10:00AM","214.5","7.94","35%","+0.3%","27","2","4","23","0","6","62","45","52","5","0","0","2","23","19","16","0","0","0","5"
"Gross, Pascal","BRIGHT","M","108","SLAM","CAR 2<br/>@BRIGHT 0 F","213.5","10.68","81%","0%","20","2","2","43","0","8","23","16","10","0","0","0","38","9","13","15","0","0","0","2"
"Rose, Danny","TOT","D","109","Mayomen","@MCI Sat 7:30AM","213.5","9.7","70%","+0.1%","22","0","3","22","1","1","41","14","36","5","0","0","19","18","18","21","0","7","5","2"
"Ecuele Manga, Bruno","CAR","D","110","FA","CAR 2<br/>@BRIGHT 0 F","210.5","6.19","13%","+0.1%","34","0","1","6","0","2","63","13","9","0","0","0","2","74","148","76","0","61","9","0"
"Rudiger, Antonio","CHE","D","111","EBDB","BURN Mon 3:00PM","209.75","6.55","83%","-0.1%","32","1","0","8","1","5","34","9","15","7","0","0","0","32","93","83","0","34","12","0"
"Antonio, Michail","WHU","M","112","BOOM","LEIC Sat 10:00AM","209.5","7.22","61%","0%","29","4","3","20","2","17","23","53","34","3","0","0","5","16","17","68","0","4","0","1"
"Coleman, Seamus","EVE","D","113","Mayomen","MUN Sun 8:30AM","208.5","8.02","74%","-0.1%","26","1","2","20","0","4","40","23","20","1","0","0","15","22","64","41","1","28","10","0"
"Mahrez, Riyad","MCI","M","114","JRs","TOT Sat 7:30AM","208","8","95%","+0.1%","26","6","3","22","0","22","13","26","14","0","0","0","15","8","2","18","0","0","0","2"
"Chambers, Calum","FUL","D","115","JRs","@BOUR Sat 10:00AM","207.5","7.69","35%","+0.2%","27","2","0","11","0","11","58","20","3","7","0","0","0","62","98","56","0","16","0","3"
"Rice, Declan","WHU","M","116","CTMS","LEIC Sat 10:00AM","205.5","6.63","35%","-0.1%","31","2","0","9","0","5","92","20","7","3","0","0","0","47","49","55","0","0","0","5"
"Bennett, Ryan","WOLVES","D","117","Mayomen","BRIGHT Sat 10:00AM","205","7.07","38%","+0.1%","29","1","0","9","0","4","51","1","8","10","0","0","0","37","102","104","0","34","7","0"
"Danny Ings","SOU","F","118","FA","@NEW Sat 12:30PM","204","10.2","63%","+0.4%","20","7","2","23","0","21","24","22","17","1","0","0","1","5","7","16","0","0","0","0"
