"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A","KP","AF","SOT","Tk","DIS","FS","YC","SYC","RC","AC","Int","CLR","AER","OG","GAD","CSD","CSM"
"Okazaki, Shinji","LEIC","F","367","FA","@WHU Sat 10:00AM","27","1.35","3%","0%","20","0","1","1","0","4","4","5","4","0","0","0","0","2","1","7","0","0","0","0"
"Obafemi, Michael","SOU","F","368","FA","@NEW Sat 12:30PM","27","4.5","1%","0%","6","1","1","2","0","3","1","2","3","1","0","0","1","1","0","0","0","0","0","0"
"Cook, Lewis","BOUR","M","369","FA","FUL Sat 10:00AM","25","1.92","3%","+0.1%","13","0","0","2","0","0","13","9","5","2","0","0","0","8","7","5","0","0","0","3"
"Soyuncu, Caglar","LEIC","D","370","FA","@WHU Sat 10:00AM","25","4.17","1%","-0.1%","6","0","0","0","0","0","5","1","2","1","0","0","1","7","22","16","0","4","0","0"
"Christensen, Andreas","CHE","D","371","FA","BURN Mon 3:00PM","24.25","4.85","19%","+0.3%","5","0","0","0","0","0","8","0","2","1","0","0","0","4","13","8","0","5","2","0"
"Vydra, Matej","BURN","F","372","FA","@CHE Mon 3:00PM","23.5","2.14","1%","0%","11","1","1","2","0","3","2","8","1","1","0","0","0","1","6","3","0","0","0","0"
"Bailly, Eric","MUN","D","373","FA","@EVE Sun 8:30AM","23","2.09","26%","-0.1%","11","0","0","0","0","0","12","1","4","0","0","1","0","12","34","12","0","12","1","0"
"McDonald, Kevin","FUL","M","374","FA","@BOUR Sat 10:00AM","22","1.47","2%","0%","15","0","0","4","0","0","15","5","6","4","1","1","0","9","20","19","0","0","0","0"
"Defour, Steven","BURN","M","375","FA","@CHE Mon 3:00PM","21.5","3.58","1%","0%","6","0","0","2","0","0","8","1","2","0","0","0","0","8","6","0","0","0","0","0"
"Puncheon, Jason","HUD","M","376","FA","WAT Sat 10:00AM","20.5","1.86","1%","0%","11","0","0","5","0","0","8","13","2","1","0","0","2","4","8","6","0","0","0","1"
"Fuchs, Christian","LEIC","D","377","FA","@WHU Sat 10:00AM","20.25","6.75","2%","0%","3","0","0","6","0","0","4","1","2","0","0","0","4","4","7","3","0","5","0","0"
"Dann, Scott","CRY","D","378","FA","@ARS Sun 11:00AM","19.5","2.79","2%","+0.1%","7","0","0","0","0","0","5","0","0","1","0","0","0","4","26","13","0","6","1","0"
"Wickham, Connor","CRY","F","379","FA","@ARS Sun 11:00AM","18.5","3.7","0%","0%","5","0","1","4","0","1","0","2","0","0","0","0","0","0","2","7","0","0","0","0"
"Baines, Leighton","EVE","D","380","FA","MUN Sun 8:30AM","18.25","3.04","14%","0%","6","0","0","4","0","1","8","1","1","0","0","0","6","2","7","2","0","6","0","0"
"Skipp, Oliver","TOT","M","381","FA","@MCI Sat 7:30AM","16.5","2.36","0%","0%","7","0","0","1","0","0","6","2","3","0","0","0","0","1","5","9","0","0","0","1"
"Mohamed Elneny","ARS","M","382","FA","CRY Sun 11:00AM","14","2.33","1%","0%","6","0","0","2","0","0","10","3","0","0","0","0","0","1","6","1","0","0","0","0"
"Crouch, Peter","BURN","F","383","FA","@CHE Mon 3:00PM","13.5","2.7","2%","0%","5","0","0","0","1","1","1","0","0","1","0","0","0","0","2","15","0","0","0","0"
"Ward, Stephen","BURN","D","384","FA","@CHE Mon 3:00PM","13","4.33","7%","0%","3","0","0","1","0","1","4","0","3","1","0","0","0","4","12","4","0","6","1","0"
"Nordtveit, Havard","FUL","M","385","FA","@BOUR Sat 10:00AM","13","3.25","1%","+0.2%","4","0","1","3","0","0","9","0","2","0","0","0","0","8","14","4","0","10","0","0"
"Josh Sims","SOU","M","386","FA","@NEW Sat 12:30PM","12","3","1%","+0.1%","4","0","1","1","0","1","1","4","3","0","0","0","0","0","1","0","0","0","0","0"
"Fosu-Mensah, Timothy","FUL","D","387","FA","@BOUR Sat 10:00AM","11.25","0.94","1%","0%","12","0","0","6","0","1","18","4","1","3","0","0","3","12","25","7","1","18","1","0"
"Sanchez, Carlos","WHU","M","388","FA","LEIC Sat 10:00AM","9.5","1.9","1%","0%","5","0","0","2","0","0","4","2","1","0","0","0","0","1","2","1","0","0","0","0"
"Slattery, Callum","SOU","M","389","FA","@NEW Sat 12:30PM","9.5","3.17","0%","0%","3","0","0","0","0","0","4","2","3","0","0","0","0","2","1","3","0","0","0","0"
"Moreno, Alberto","LIV","D","390","FA","@CAR Sun 11:00AM","9","4.5","1%","0%","2","0","0","3","0","0","3","0","1","0","0","0","1","2","0","0","0","2","0","0"
"Lichtsteiner, Stephan","ARS","D","391","FA","CRY Sun 11:00AM","7.75","0.65","10%","0%","12","0","0","2","0","0","12","11","10","2","0","0","1","6","21","13","0","16","0","0"
"Gibson, Ben","BURN","D","392","FA","@CHE Mon 3:00PM","6.5","6.5","1%","0%","1","1","0","0","0","1","1","0","0","1","0","0","0","0","2","2","0","3","0","0"
"Chalobah, Nathaniel","WAT","M","393","FA","@HUD Sat 10:00AM","6","0.86","1%","0%","7","0","0","1","0","1","1","3","3","2","0","0","0","4","6","3","0","0","0","0"
"Mavropanos, Konstantinos","ARS","D","394","FA","CRY Sun 11:00AM","5.75","2.88","2%","+0.1%","2","0","0","0","0","0","0","0","0","0","0","0","0","5","3","0","0","0","0","0"
"Britos, Miguel","WAT","D","395","FA","@HUD Sat 10:00AM","5.5","1.83","0%","0%","3","0","0","0","0","0","4","0","1","0","0","0","0","3","10","5","0","5","0","0"
"Kebano, Neeskens","FUL","M","396","FA","@BOUR Sat 10:00AM","5.5","0.92","0%","0%","6","0","0","0","0","0","3","3","1","0","0","0","1","0","3","4","0","0","0","0"
"Simpson, Jack","BOUR","D","397","FA","FUL Sat 10:00AM","4.75","2.38","0%","0%","2","0","0","0","0","0","0","0","0","0","0","0","0","2","11","2","0","1","0","0"
"Duhaney, Demeaco","HUD","D","398","FA","WAT Sat 10:00AM","4.25","4.25","0%","0%","1","0","0","0","0","0","1","0","2","0","0","0","0","1","1","0","0","0","0","0"
"Sabiri, Abdelhamid","HUD","M","399","FA","WAT Sat 10:00AM","4","2","0%","0%","2","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0"
"Cisse, Ibrahima","FUL","M","400","FA","@BOUR Sat 10:00AM","3.5","1.17","0%","0%","3","0","0","0","0","0","0","0","0","0","0","0","0","3","4","1","0","0","0","0"
"Zappacosta, Davide","CHE","D","401","FA","BURN Mon 3:00PM","3.25","1.08","3%","0%","3","0","0","0","0","1","0","2","0","0","0","0","0","1","1","1","0","0","0","0"
"Gomes, Angel","MUN","M","402","FA","@EVE Sun 8:30AM","3","3","0%","0%","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jenkinson, Carl","ARS","D","403","FA","CRY Sun 11:00AM","2.75","1.38","0%","0%","2","0","0","1","0","0","3","3","0","0","0","0","0","0","1","1","0","1","0","0"
"Suarez, Denis","ARS","M","404","Mayomen","CRY Sun 11:00AM","2.5","0.62","15%","-0.1%","4","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0"
"Navarro, Marc","WAT","D","405","FA","@HUD Sat 10:00AM","2.5","2.5","14%","0%","1","0","0","0","0","0","5","0","0","0","0","0","1","0","2","0","0","2","0","0"
"Healey, Rhys","CAR","F","406","FA","CAR 2<br/>@BRIGHT 0 F","2.5","1.25","0%","0%","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0"
"Eddie Nketiah","ARS","F","407","FA","CRY Sun 11:00AM","2","1","0%","0%","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Souare, Pape","CRY","D","408","FA","@ARS Sun 11:00AM","2","2","0%","0%","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"Xande Silva","WHU","F","409","FA","LEIC Sat 10:00AM","2","2","0%","0%","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Surridge, Sam","BOUR","F","410","FA","FUL Sat 10:00AM","2","2","0%","0%","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Amos, Luke","TOT","M","411","FA","@MCI Sat 7:30AM","1.5","1.5","0%","0%","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Gallagher, Sam","SOU","F","412","FA","@NEW Sat 12:30PM","1.5","0.38","0%","0%","4","0","0","0","0","0","0","2","1","0","0","0","0","0","1","3","0","0","0","0"
"Cahill, Gary","CHE","D","413","FA","BURN Mon 3:00PM","1","1","7%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Markovic, Lazar","FUL","M","414","FA","@BOUR Sat 10:00AM","1","1","2%","0%","1","0","0","1","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0"
"Camacho, Rafael","LIV","M","415","FA","@CAR Sun 11:00AM","1","1","0%","0%","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chong, Tahith","MUN","M","416","FA","@EVE Sun 8:30AM","1","1","0%","0%","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Joe Willock","ARS","M","417","FA","CRY Sun 11:00AM","1","1","0%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Smith, Tommy","HUD","D","418","FA","WAT Sat 10:00AM","0.5","0.05","1%","+0.2%","11","0","0","4","0","0","17","3","5","2","0","1","3","15","20","10","0","27","1","0"
"Damour, Loic","CAR","M","419","FA","CAR 2<br/>@BRIGHT 0 F","0.5","0.25","0%","0%","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"Greenwood, Mason","MUN","F","420","FA","@EVE Sun 8:30AM","0.5","0.25","0%","0%","2","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0"
"Oxlade-Chamberlain, Alex","LIV","M","421","JRs","@CAR Sun 11:00AM","0","0","33%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drinkwater, Daniel","CHE","M","422","FA","BURN Mon 3:00PM","0","0","2%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Steven Sessegnon","FUL","M","423","FA","@BOUR Sat 10:00AM","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barreca, Antonio","NEW","D","424","FA","SOU Sat 12:30PM","0","0","1%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Prodl, Sebastian","WAT","D","425","FA","@HUD Sat 10:00AM","0","0","1%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Janssen, Vincent","TOT","F","426","FA","@MCI Sat 7:30AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James, Matty","LEIC","M","427","FA","@WHU Sat 10:00AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reid, Winston","WHU","D","428","FA","LEIC Sat 10:00AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Riedewald, Jairo","CRY","M","429","FA","@ARS Sun 11:00AM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ampadu, Ethan","CHE","D","430","FA","BURN Mon 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brewster, Rhian","LIV","F","431","FA","@CAR Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mangala, Eliaquim","MCI","D","432","FA","TOT Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Woodburn, Ben","LIV","M","433","FA","@CAR Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bohui, Joshua","MUN","F","434","FA","@EVE Sun 8:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"McCarthy, James","EVE","M","435","FA","MUN Sun 8:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Agyei, Daniel","BURN","F","436","FA","@CHE Mon 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Penaranda, Adalberto","WAT","F","437","FA","@HUD Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Saka, Bukayo","ARS","F","438","FA","CRY Sun 11:00AM","0","0","0%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Walters, Jonathan","BURN","F","439","FA","@CHE Mon 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bernabe, Adrian","MCI","M","440","FA","TOT Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ofoborh, Nnamdi","BOUR","F","441","FA","FUL Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barnes, Marcus","SOU","F","442","FA","@NEW Sat 12:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John-Jules, Tyreece","ARS","F","443","FA","CRY Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marsh, George","TOT","M","444","FA","@MCI Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"McEachran, George","CHE","M","445","FA","BURN Mon 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Osei-Tutu, Jordi","ARS","D","446","FA","CRY Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Poveda-Ocampo, Ian Carlo","MCI","F","447","FA","TOT Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Benny Ashley-Seal","WOLVES","F","448","FA","BRIGHT Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Benson, Josh","BURN","M","449","FA","@CHE Mon 3:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Butcher, Matt","BOUR","M","450","FA","FUL Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"De La Torre, Luca","FUL","M","451","FA","@BOUR Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hoever, Ki-Jana","LIV","D","452","FA","@CAR Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Humphreys-Grant, Cameron","MCI","D","453","FA","TOT Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Humphries, Lloyd","CAR","M","454","FA","CAR 2<br/>@BRIGHT 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jones, Curtis","LIV","M","455","FA","@CAR Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gio McGregor","CRY","M","456","FA","@ARS Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"O'Keefe, Stuart","CAR","M","457","FA","CAR 2<br/>@BRIGHT 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pleguezuelo, Julio","ARS","D","458","FA","CRY Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sako, Bakary","CRY","F","459","FA","@ARS Sun 11:00AM","0","0","0%","0%","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Collar, Will","BRIGHT","M","460","FA","CAR 2<br/>@BRIGHT 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Connolly, Matthew","CAR","D","461","FA","CAR 2<br/>@BRIGHT 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coventry, Conor","WHU","M","462","FA","LEIC Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Garner, James","MUN","M","463","FA","@EVE Sun 8:30AM","0","0","0%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gilmour, Charlie","ARS","M","464","FA","CRY Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gomes, Claudio","MCI","M","465","FA","TOT Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gyokeres, Viktor","BRIGHT","F","466","FA","CAR 2<br/>@BRIGHT 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Johnson, Ben","WHU","M","467","FA","LEIC Sat 10:00AM","0","0","0%","0%","1","0","0","0","0","0","1","0","0","0","0","0","0","1","3","0","0","1","0","0"
"Johnson, Tyreke","SOU","M","468","FA","@NEW Sat 12:30PM","0","0","0%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jones, Alfie","SOU","M","469","FA","@NEW Sat 12:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leshabela, Thakgalo","LEIC","M","470","FA","@WHU Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Medley, Zech","ARS","D","471","FA","CRY Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nmecha, Felix","MCI","M","472","FA","TOT Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"O'Riley, Matt","FUL","M","473","FA","@BOUR Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pote","WOLVES","M","474","FA","BRIGHT Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Richards, Taylor","MCI","F","475","FA","TOT Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rowe, Aaron","HUD","M","476","FA","WAT Sat 10:00AM","0","0","0%","0%","2","0","0","0","0","0","1","4","0","0","0","0","0","1","1","0","0","0","0","0"
"Sandler, Philippe","MCI","D","477","FA","TOT Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taylor, Kyle","BOUR","M","478","FA","FUL Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Watt, Elliot","WOLVES","M","479","FA","BRIGHT Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Burn, Dan","BRIGHT","D","480","FA","CAR 2<br/>@BRIGHT 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christie-Davies, Isaac","LIV","M","481","FA","@CAR Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coxe, Cameron","CAR","D","482","FA","CAR 2<br/>@BRIGHT 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elliott, Harvey","FUL","M","483","FA","@BOUR Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eyoma, Timothy","TOT","D","484","FA","@MCI Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Garcia, Eric","MCI","D","485","FA","TOT Sat 7:30AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Giles, Ryan John","WOLVES","M","486","FA","BRIGHT Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Holland, Nathan","WHU","M","487","FA","LEIC Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John, Cameron","WOLVES","D","488","FA","BRIGHT Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ostigard, Leo Skiri","BRIGHT","D","489","FA","CAR 2<br/>@BRIGHT 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sanders, Max","BRIGHT","M","490","FA","CAR 2<br/>@BRIGHT 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matty Daly","HUD","M","491","FA","WAT Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ennis, Niall","WOLVES","F","492","FA","BRIGHT Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kilman, Max","WOLVES","D","493","FA","BRIGHT Sat 10:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Molumby, Jayson","BRIGHT","M","494","FA","CAR 2<br/>@BRIGHT 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Woods, Sam","CRY","D","495","FA","@ARS Sun 11:00AM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rojo, Marcos","MUN","D","496","FA","@EVE Sun 8:30AM","-0.75","-0.19","4%","0%","4","0","0","0","0","3","5","0","1","1","0","0","0","5","9","2","1","5","0","0"
"Williams, Danny","HUD","M","497","FA","WAT Sat 10:00AM","-1","-0.2","1%","0%","5","0","0","1","0","0","0","4","1","1","0","0","0","1","2","0","0","0","0","0"
"Ramsay, Kayne","SOU","D","498","FA","@NEW Sat 12:30PM","-2.25","-2.25","0%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","0","3","0","0"
"Jazz Richards","CAR","D","499","FA","CAR 2<br/>@BRIGHT 0 F","-5.25","-1.75","0%","0%","3","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","4","0","0"